feature,tumor_stage,value
EMT,non-cancer,0.043061300629497604
EMT,non-cancer,-0.056400814276263755
EMT,non-cancer,0.018614806579238058
EMT,non-cancer,-0.003871254632383664
EMT,non-cancer,-0.04049324634782863
EMT,non-cancer,0.04388839773898165
EMT,non-cancer,0.02707923669292879
EMT,non-cancer,0.19288081144393346
EMT,non-cancer,-0.028481452650570394
EMT,non-cancer,-0.007064755107209053
EMT,non-cancer,-0.04003932689040127
EMT,non-cancer,-0.04293297979261415
EMT,non-cancer,-0.019304306761332143
EMT,non-cancer,-0.04530198088983982
EMT,non-cancer,0.024364339295313037
EMT,non-cancer,0.00965020886072164
EMT,non-cancer,-0.02275695578165632
EMT,non-cancer,-0.076056199609718
EMT,non-cancer,-0.015911326669478615
EMT,non-cancer,0.04010480402525976
EMT,non-cancer,0.021076308986982623
EMT,non-cancer,-0.07119893959001436
EMT,non-cancer,-0.019368783664978198
EMT,non-cancer,-0.04345477574153317
EMT,non-cancer,-0.04256419223048845
EMT,non-cancer,0.05970791945883452
EMT,non-cancer,0.06651996170065932
EMT,non-cancer,0.027856670429108818
EMT,non-cancer,0.0826094990161379
EMT,non-cancer,-0.0024394842801932215
EMT,non-cancer,-0.08721875912861453
EMT,non-cancer,-0.06079920804466225
EMT,non-cancer,-0.07562240985353673
EMT,non-cancer,0.02689720417649327
EMT,non-cancer,0.013805128751639327
EMT,non-cancer,0.03845505244450197
EMT,non-cancer,-0.05938934361900308
EMT,non-cancer,0.039622535114673105
EMT,non-cancer,0.03135854443486898
EMT,non-cancer,-0.03392321836707915
EMT,non-cancer,-0.028421585704132862
EMT,non-cancer,0.012440839390933343
EMT,non-cancer,-0.011834428069914457
EMT,non-cancer,-0.014377781815762491
EMT,non-cancer,-0.009135566018843855
EMT,non-cancer,0.031921851298307484
EMT,non-cancer,-0.02078833420613313
EMT,non-cancer,-0.056701114802951424
EMT,non-cancer,0.020423652239422975
EMT,non-cancer,-0.017721366497556484
EMT,non-cancer,-0.0286377086694371
EMT,non-cancer,0.16914302507120182
EMT,non-cancer,0.03231993897847552
EMT,non-cancer,-0.047441448409550474
EMT,non-cancer,-0.05250075909177576
EMT,non-cancer,-0.023486560964446943
EMT,non-cancer,-0.03218406087726956
EMT,non-cancer,0.01109877014709823
EMT,non-cancer,-0.0031690289719991105
EMT,non-cancer,-0.07914431784956874
EMT,non-cancer,-0.03413569236007824
EMT,non-cancer,-0.0849297871438502
EMT,non-cancer,0.021044697665343712
EMT,non-cancer,-0.05471268260856871
EMT,non-cancer,-0.0871029769996401
EMT,non-cancer,-0.011860852420158274
EMT,non-cancer,0.026158312651884313
EMT,non-cancer,0.09019371428475945
EMT,non-cancer,-0.0115337199505193
EMT,non-cancer,-0.014499587373706036
EMT,non-cancer,-0.05478783566257796
EMT,non-cancer,0.018274820586102837
EMT,non-cancer,-0.0432019655024284
EMT,non-cancer,0.03282892287636353
EMT,non-cancer,-0.034106110976821064
EMT,non-cancer,0.08841309286331925
EMT,non-cancer,0.006434658418814798
EMT,non-cancer,-0.01022197678728131
EMT,non-cancer,0.06768833229108914
EMT,non-cancer,-0.011650179937181288
EMT,non-cancer,-0.004821365587305962
EMT,non-cancer,0.016213733991903262
EMT,non-cancer,-0.021836518911532085
EMT,non-cancer,0.024321101405778617
EMT,non-cancer,-0.01053587212686237
EMT,non-cancer,0.04217628580692522
EMT,non-cancer,-0.07753494573257844
EMT,non-cancer,0.045425348474244225
EMT,non-cancer,-0.06538929913847866
