figure,panel,feature,group1,group2,n1,n2,median1,median2,higher_median_group,U_statistic,p_value_raw,p_value_adj,correction_method,effect_size_rbc
2,2G,Cell cycle,Both,EGFR only,34112,32633,0.04299071889725842,0.03800364178182607,Both,630813233.5,1.6232627404699732e-195,2.656248120769047e-195,fdr_bh,-0.13335667631391446
2,2G,Cell cycle,Both,KRAS only,34112,40224,0.04299071889725842,0.03277491883947902,Both,842416960.5,0.0,0.0,fdr_bh,-0.22790469130957636
2,2G,Cell cycle,Both,Neither,34112,54190,0.04299071889725842,0.029350486747152224,Both,1227047759.5,0.0,0.0,fdr_bh,-0.32759353370913336
2,2G,Cell cycle,EGFR only,KRAS only,32633,40224,0.03800364178182607,0.03277491883947902,EGFR only,729150431.0,8.806349500124447e-147,1.219340700017231e-146,fdr_bh,-0.11097650753305466
2,2G,Cell cycle,EGFR only,Neither,32633,54190,0.03800364178182607,0.029350486747152224,EGFR only,1074372024.0,0.0,0.0,fdr_bh,-0.2150902462961246
2,2G,Cell cycle,KRAS only,Neither,40224,54190,0.03277491883947902,0.029350486747152224,KRAS only,1193658794.5,1.2812962507215662e-138,1.647380893784871e-138,fdr_bh,-0.09523115882301036
2,2G,EMT,Both,EGFR only,34112,32633,0.07534114472117134,0.06162135489735892,Both,629233861.0,2.2637900409378997e-187,3.39568506140685e-187,fdr_bh,-0.13051908148837477
2,2G,EMT,Both,KRAS only,34112,40224,0.07534114472117134,0.06781328994190315,Both,733166875.0,1.007400468560554e-58,1.1333255271306233e-58,fdr_bh,-0.06866206111395323
2,2G,EMT,Both,Neither,34112,54190,0.07534114472117134,0.04686997862989003,Both,1153658707.5,0.0,0.0,fdr_bh,-0.24819089422267626
2,2G,EMT,EGFR only,KRAS only,32633,40224,0.06162135489735892,0.06781328994190315,KRAS only,616936246.5,3.192471469868077e-44,3.380263909272082e-44,fdr_bh,0.05999962783108914
2,2G,EMT,EGFR only,Neither,32633,54190,0.06162135489735892,0.04686997862989003,EGFR only,997962855.5,5.249696543043764e-222,9.449453777478775e-222,fdr_bh,-0.12867322007249027
2,2G,EMT,KRAS only,Neither,40224,54190,0.06781328994190315,0.04686997862989003,KRAS only,1287732718.0,0.0,0.0,fdr_bh,-0.18154786232712228
2,2G,Apoptosis,Both,EGFR only,34112,32633,0.08697758417011286,0.07183912832090483,Both,643536291.0,1.6797704685206486e-267,3.7794835541714596e-267,fdr_bh,-0.1562156802075778
2,2G,Apoptosis,Both,KRAS only,34112,40224,0.08697758417011286,0.0765408222192428,Both,758487367.5,3.134174457474962e-136,3.761009348969954e-136,fdr_bh,-0.10556914274318041
2,2G,Apoptosis,Both,Neither,34112,54190,0.08697758417011286,0.05972746031569423,Both,1183031183.5,0.0,0.0,fdr_bh,-0.279970186352688
2,2G,Apoptosis,EGFR only,KRAS only,32633,40224,0.07183912832090483,0.0765408222192428,KRAS only,623550980.5,3.848793781840125e-31,3.848793781840125e-31,fdr_bh,0.049921029828340235
2,2G,Apoptosis,EGFR only,Neither,32633,54190,0.07183912832090483,0.05972746031569423,EGFR only,999977078.0,7.332506021637796e-230,1.4665012043275592e-229,fdr_bh,-0.13095125976353517
2,2G,Apoptosis,KRAS only,Neither,40224,54190,0.0765408222192428,0.05972746031569423,KRAS only,1283599637.0,0.0,0.0,fdr_bh,-0.17775559010159458
2,2C,EMT,non-cancer,early,11542,70880,0.02480358948968673,0.04110969691867444,early,336196561.0,2.062977776822253e-207,3.0944666652333797e-207,fdr_bh,0.17810094050465608
2,2C,EMT,non-cancer,advanced,11542,71897,0.02480358948968673,0.08518735759196432,advanced,169947289.5,0.0,0.0,fdr_bh,0.590407119811964
2,2C,EMT,early,advanced,70880,71897,0.04110969691867444,0.08518735759196432,advanced,1473931844.0,0.0,0.0,fdr_bh,0.4215405512858861
2,2C,Apoptosis,non-cancer,early,11542,70880,0.04565000492030512,0.05961536220267702,early,345257131.5,1.6439439229818496e-159,2.1136421866909496e-159,fdr_bh,0.15595058194569011
2,2C,Apoptosis,non-cancer,advanced,11542,71897,0.04565000492030512,0.0869120279916198,advanced,238273810.0,0.0,0.0,fdr_bh,0.4257321996813791
2,2C,Apoptosis,early,advanced,70880,71897,0.05961536220267702,0.0869120279916198,advanced,1807426358.0,0.0,0.0,fdr_bh,0.29065725874904247
2,2C,Cell cycle,non-cancer,early,11542,70880,0.03456676603469424,0.03059641181534401,non-cancer,453140857.0,3.1758482754625165e-77,3.5728293098953315e-77,fdr_bh,-0.10779254576376873
2,2C,Cell cycle,non-cancer,advanced,11542,71897,0.03456676603469424,0.036540809942751516,advanced,415698896.5,0.744984457487146,0.744984457487146,fdr_bh,-0.001883047439972696
2,2C,Cell cycle,early,advanced,70880,71897,0.03059641181534401,0.036540809942751516,advanced,2231491559.5,0.0,0.0,fdr_bh,0.12422858453516916
