feature,tumor_stage,value
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.17077455448605375
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.015115858452974584
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.11356012388971126
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.1778894236222885
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.12813451435528111
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.1690145925271891
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.232007738065112
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.0658923286590033
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.10893382639665544
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.17614414470061002
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.06669477241364577
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.023580734222977642
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.08040971651593498
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.010776477449092658
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.13139838206536814
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.15055470590832254
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.0005195227220441689
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.001616075454002719
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.16413973146963967
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.05746745238282086
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.0425566024566421
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.13703149419291416
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.0019313296693628662
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.09791093391862407
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.0012335633709627536
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.0006447060361936402
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.01746911669727745
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.09929383830260773
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.030487161048036032
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.07517830097703485
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.11820586800047764
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.11212122289229443
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.06687772688475555
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.141613861049971
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.1145637223918618
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.12172305999998521
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.06848702927440387
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.05212342820410426
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.05110841243690718
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.06295797167041048
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.1328770882173439
