feature,tumor_stage,value
HALLMARK_ANGIOGENESIS,non-cancer,0.14303165468395268
HALLMARK_ANGIOGENESIS,non-cancer,0.1811595609452989
HALLMARK_ANGIOGENESIS,non-cancer,0.16258582155928653
HALLMARK_ANGIOGENESIS,non-cancer,0.09681246912377513
HALLMARK_ANGIOGENESIS,non-cancer,0.29543877128861906
HALLMARK_ANGIOGENESIS,non-cancer,0.19267590376046986
HALLMARK_ANGIOGENESIS,non-cancer,0.2659169802706466
HALLMARK_ANGIOGENESIS,non-cancer,0.1860614338084164
HALLMARK_ANGIOGENESIS,non-cancer,0.052246776238465936
HALLMARK_ANGIOGENESIS,non-cancer,0.1705871386405749
HALLMARK_ANGIOGENESIS,non-cancer,0.2212155989296416
HALLMARK_ANGIOGENESIS,non-cancer,0.19570965595734427
HALLMARK_ANGIOGENESIS,non-cancer,0.046261472131451986
HALLMARK_ANGIOGENESIS,non-cancer,0.07566526804214871
HALLMARK_ANGIOGENESIS,non-cancer,-0.019702099551502456
HALLMARK_ANGIOGENESIS,non-cancer,0.1241244662521232
HALLMARK_ANGIOGENESIS,non-cancer,0.0762785411084819
HALLMARK_ANGIOGENESIS,non-cancer,0.20078132115877592
HALLMARK_ANGIOGENESIS,non-cancer,0.1534517073019957
HALLMARK_ANGIOGENESIS,non-cancer,0.07667824109395346
HALLMARK_ANGIOGENESIS,non-cancer,0.16515777759062936
HALLMARK_ANGIOGENESIS,non-cancer,0.28005458081889356
HALLMARK_ANGIOGENESIS,non-cancer,0.2839241303337945
HALLMARK_ANGIOGENESIS,non-cancer,0.2385920681912675
HALLMARK_ANGIOGENESIS,non-cancer,0.04152796920548138
HALLMARK_ANGIOGENESIS,non-cancer,0.20179550268711186
HALLMARK_ANGIOGENESIS,non-cancer,0.2832704866849459
HALLMARK_ANGIOGENESIS,non-cancer,0.05432585259788056
HALLMARK_ANGIOGENESIS,non-cancer,-0.06058993412898137
HALLMARK_ANGIOGENESIS,non-cancer,0.2666137383941911
HALLMARK_ANGIOGENESIS,non-cancer,0.32330094182593194
HALLMARK_ANGIOGENESIS,non-cancer,-0.05149850698617788
HALLMARK_ANGIOGENESIS,non-cancer,0.2601327270116562
HALLMARK_ANGIOGENESIS,non-cancer,-0.07059295654296875
HALLMARK_ANGIOGENESIS,non-cancer,0.047281566929613425
HALLMARK_ANGIOGENESIS,non-cancer,0.22265087176591924
HALLMARK_ANGIOGENESIS,non-cancer,0.05606201432709
HALLMARK_ANGIOGENESIS,non-cancer,0.1532762137029925
HALLMARK_ANGIOGENESIS,non-cancer,0.1346113630441519
HALLMARK_ANGIOGENESIS,non-cancer,0.3346760339003343
HALLMARK_ANGIOGENESIS,non-cancer,0.49910105387369785
HALLMARK_ANGIOGENESIS,non-cancer,0.04687508723674677
HALLMARK_ANGIOGENESIS,non-cancer,0.03238930086804252
HALLMARK_ANGIOGENESIS,non-cancer,0.05522446546799098
HALLMARK_ANGIOGENESIS,non-cancer,0.1565300405942477
HALLMARK_ANGIOGENESIS,non-cancer,0.09017510096232098
HALLMARK_ANGIOGENESIS,non-cancer,0.02853256749291705
HALLMARK_ANGIOGENESIS,non-cancer,0.03949171714293653
HALLMARK_ANGIOGENESIS,non-cancer,0.33727572449252136
HALLMARK_ANGIOGENESIS,non-cancer,0.05917653733848507
HALLMARK_ANGIOGENESIS,non-cancer,0.3126066900726058
HALLMARK_ANGIOGENESIS,non-cancer,0.04629806002999983
HALLMARK_ANGIOGENESIS,non-cancer,0.11354948157938116
HALLMARK_ANGIOGENESIS,non-cancer,0.2488495849544166
HALLMARK_ANGIOGENESIS,non-cancer,0.21385202024736974
HALLMARK_ANGIOGENESIS,non-cancer,0.22538846953302366
HALLMARK_ANGIOGENESIS,non-cancer,0.11218778756948618
HALLMARK_ANGIOGENESIS,non-cancer,0.25263103811149923
HALLMARK_ANGIOGENESIS,non-cancer,0.1165859594508114
HALLMARK_ANGIOGENESIS,non-cancer,-0.0973515848013071
HALLMARK_ANGIOGENESIS,non-cancer,0.08703752974159698
HALLMARK_ANGIOGENESIS,non-cancer,0.21007004680796568
HALLMARK_ANGIOGENESIS,non-cancer,0.06545739793369913
HALLMARK_ANGIOGENESIS,non-cancer,0.04872302136869512
HALLMARK_ANGIOGENESIS,non-cancer,0.09084797851040832
HALLMARK_ANGIOGENESIS,non-cancer,0.22959377109494983
HALLMARK_ANGIOGENESIS,non-cancer,0.2091307896019047
HALLMARK_ANGIOGENESIS,non-cancer,0.0315923007736858
HALLMARK_ANGIOGENESIS,non-cancer,0.0634561837840284
HALLMARK_ANGIOGENESIS,non-cancer,0.13414728694491918
HALLMARK_ANGIOGENESIS,non-cancer,0.11948783328390528
HALLMARK_ANGIOGENESIS,non-cancer,0.16686818563021147
HALLMARK_ANGIOGENESIS,non-cancer,0.29186059788760976
HALLMARK_ANGIOGENESIS,non-cancer,0.05320716002048592
HALLMARK_ANGIOGENESIS,non-cancer,-0.05078453650841346
HALLMARK_ANGIOGENESIS,non-cancer,0.01770380643697886
HALLMARK_ANGIOGENESIS,non-cancer,0.5506349985823672
HALLMARK_ANGIOGENESIS,non-cancer,0.10522208727323093
HALLMARK_ANGIOGENESIS,non-cancer,0.2890454885694716
HALLMARK_ANGIOGENESIS,non-cancer,0.15864978749527892
HALLMARK_ANGIOGENESIS,non-cancer,0.2313527880774604
HALLMARK_ANGIOGENESIS,non-cancer,0.12202714272034473
HALLMARK_ANGIOGENESIS,non-cancer,0.15818040016369944
HALLMARK_ANGIOGENESIS,non-cancer,0.13239636967324805
HALLMARK_ANGIOGENESIS,non-cancer,0.22028362160055048
HALLMARK_ANGIOGENESIS,non-cancer,0.2068754495310987
HALLMARK_ANGIOGENESIS,non-cancer,-0.03844946054311899
HALLMARK_ANGIOGENESIS,non-cancer,0.033601739956782416
HALLMARK_ANGIOGENESIS,non-cancer,-0.05223809462327224
HALLMARK_ANGIOGENESIS,non-cancer,0.23398283241141554
HALLMARK_ANGIOGENESIS,non-cancer,-0.058221335777869594
HALLMARK_ANGIOGENESIS,non-cancer,0.038043905893961574
HALLMARK_ANGIOGENESIS,non-cancer,0.26325426297310073
HALLMARK_ANGIOGENESIS,non-cancer,0.1453568197723128
HALLMARK_ANGIOGENESIS,non-cancer,0.3642650012480907
HALLMARK_ANGIOGENESIS,non-cancer,-0.03622264507489327
HALLMARK_ANGIOGENESIS,non-cancer,0.07880488550561104
HALLMARK_ANGIOGENESIS,non-cancer,0.2755535714239137
HALLMARK_ANGIOGENESIS,non-cancer,0.02478334569523477
HALLMARK_ANGIOGENESIS,non-cancer,0.09590042163164186
HALLMARK_ANGIOGENESIS,non-cancer,0.4260425878997542
HALLMARK_ANGIOGENESIS,non-cancer,0.1281222626286694
HALLMARK_ANGIOGENESIS,non-cancer,0.28295523912478715
HALLMARK_ANGIOGENESIS,non-cancer,0.271571437395536
HALLMARK_ANGIOGENESIS,non-cancer,-0.0281844589445326
HALLMARK_ANGIOGENESIS,non-cancer,0.19020292974944808
HALLMARK_ANGIOGENESIS,non-cancer,0.29082087149986857
HALLMARK_ANGIOGENESIS,non-cancer,0.22763847163599782
HALLMARK_ANGIOGENESIS,non-cancer,0.1398793716919728
HALLMARK_ANGIOGENESIS,non-cancer,0.3271021161527715
HALLMARK_ANGIOGENESIS,non-cancer,0.26430206201015377
HALLMARK_ANGIOGENESIS,non-cancer,-0.04799067570612981
HALLMARK_ANGIOGENESIS,non-cancer,0.2347604831467327
HALLMARK_ANGIOGENESIS,non-cancer,0.03551554561680199
HALLMARK_ANGIOGENESIS,non-cancer,-0.021023070995624255
HALLMARK_ANGIOGENESIS,non-cancer,-0.06283618633563702
HALLMARK_ANGIOGENESIS,non-cancer,-0.04991810961666271
HALLMARK_ANGIOGENESIS,non-cancer,-0.033343935135083325
HALLMARK_ANGIOGENESIS,non-cancer,0.12265493058750773
HALLMARK_ANGIOGENESIS,non-cancer,0.15135514096317126
HALLMARK_ANGIOGENESIS,non-cancer,0.21037516496120356
HALLMARK_ANGIOGENESIS,non-cancer,0.06599109233954015
HALLMARK_ANGIOGENESIS,non-cancer,0.17765164896973176
HALLMARK_ANGIOGENESIS,non-cancer,-0.021323838763766825
HALLMARK_ANGIOGENESIS,non-cancer,-0.04585048088660607
HALLMARK_ANGIOGENESIS,non-cancer,-0.008720019006321578
HALLMARK_ANGIOGENESIS,non-cancer,0.02357094212474986
HALLMARK_ANGIOGENESIS,non-cancer,0.07956667920463105
HALLMARK_ANGIOGENESIS,non-cancer,-0.05471346798106136
HALLMARK_ANGIOGENESIS,non-cancer,0.07406589544736422
HALLMARK_ANGIOGENESIS,non-cancer,0.260616691132896
HALLMARK_ANGIOGENESIS,non-cancer,-0.049871468177208535
HALLMARK_ANGIOGENESIS,non-cancer,0.03958988642081237
HALLMARK_ANGIOGENESIS,non-cancer,0.25029505134647734
HALLMARK_ANGIOGENESIS,non-cancer,-0.11502548217773438
HALLMARK_ANGIOGENESIS,non-cancer,0.28711335907634505
HALLMARK_ANGIOGENESIS,non-cancer,0.18514718145386788
HALLMARK_ANGIOGENESIS,non-cancer,0.13006704925471899
HALLMARK_ANGIOGENESIS,non-cancer,0.09144329319652329
HALLMARK_ANGIOGENESIS,non-cancer,0.27660626297323115
HALLMARK_ANGIOGENESIS,non-cancer,0.05523173352592012
HALLMARK_ANGIOGENESIS,non-cancer,0.15722711025140224
HALLMARK_ANGIOGENESIS,non-cancer,0.17835372240115438
HALLMARK_ANGIOGENESIS,non-cancer,0.2995285577855558
HALLMARK_ANGIOGENESIS,non-cancer,0.313414823988564
HALLMARK_ANGIOGENESIS,non-cancer,0.11521828871506912
HALLMARK_ANGIOGENESIS,non-cancer,0.1271168549040444
HALLMARK_ANGIOGENESIS,non-cancer,0.42177497342101533
HALLMARK_ANGIOGENESIS,non-cancer,0.08150696444715189
HALLMARK_ANGIOGENESIS,non-cancer,0.04985629318106888
HALLMARK_ANGIOGENESIS,non-cancer,0.19733035682613012
HALLMARK_ANGIOGENESIS,non-cancer,0.46957436651246154
HALLMARK_ANGIOGENESIS,non-cancer,0.22877886291243074
HALLMARK_ANGIOGENESIS,non-cancer,-0.051347550612229564
HALLMARK_ANGIOGENESIS,non-cancer,-0.049987834050105165
HALLMARK_ANGIOGENESIS,non-cancer,0.17037350850227553
HALLMARK_ANGIOGENESIS,non-cancer,0.4484019848424145
HALLMARK_ANGIOGENESIS,non-cancer,-0.06126226571890024
HALLMARK_ANGIOGENESIS,non-cancer,0.04039344922090188
HALLMARK_ANGIOGENESIS,non-cancer,0.131765109738733
HALLMARK_ANGIOGENESIS,non-cancer,-0.08739829430213342
HALLMARK_ANGIOGENESIS,non-cancer,0.002991173817561227
HALLMARK_ANGIOGENESIS,non-cancer,0.024530125560923523
HALLMARK_ANGIOGENESIS,non-cancer,0.06341163036150811
HALLMARK_ANGIOGENESIS,non-cancer,0.11389326340112932
HALLMARK_ANGIOGENESIS,non-cancer,0.1502002346006214
HALLMARK_ANGIOGENESIS,non-cancer,-0.025253953200120194
HALLMARK_ANGIOGENESIS,non-cancer,-0.07022837510475746
HALLMARK_ANGIOGENESIS,non-cancer,0.019516149626837835
HALLMARK_ANGIOGENESIS,non-cancer,0.2961616914700239
HALLMARK_ANGIOGENESIS,non-cancer,0.1537416435306908
HALLMARK_ANGIOGENESIS,non-cancer,0.10719221522665431
HALLMARK_ANGIOGENESIS,non-cancer,-0.008315058365846284
HALLMARK_ANGIOGENESIS,non-cancer,-0.004860047743870666
HALLMARK_ANGIOGENESIS,non-cancer,0.13482770642663677
HALLMARK_ANGIOGENESIS,non-cancer,0.05265275064696614
HALLMARK_ANGIOGENESIS,non-cancer,-0.015047162822169141
HALLMARK_ANGIOGENESIS,non-cancer,0.02989738191294873
HALLMARK_ANGIOGENESIS,non-cancer,-0.06659871028019831
HALLMARK_ANGIOGENESIS,non-cancer,0.08125182883352297
HALLMARK_ANGIOGENESIS,non-cancer,-0.05131006094125601
HALLMARK_ANGIOGENESIS,non-cancer,0.1475528058435163
HALLMARK_ANGIOGENESIS,non-cancer,-0.04221997481126052
HALLMARK_ANGIOGENESIS,non-cancer,0.11324655838501758
HALLMARK_ANGIOGENESIS,non-cancer,0.20084854704702004
HALLMARK_ANGIOGENESIS,non-cancer,0.16752399762471515
HALLMARK_ANGIOGENESIS,non-cancer,0.0553546689514421
HALLMARK_ANGIOGENESIS,non-cancer,-0.02725085918719952
HALLMARK_ANGIOGENESIS,non-cancer,-0.08981086144080529
HALLMARK_ANGIOGENESIS,non-cancer,-0.06137395491966835
HALLMARK_ANGIOGENESIS,non-cancer,0.1327353520678659
HALLMARK_ANGIOGENESIS,non-cancer,0.061593078874115255
HALLMARK_ANGIOGENESIS,non-cancer,-0.04064289386455829
