feature,kras_egfr_group,value
COL1A2,Neither,2.9476659297943115
COL1A2,Neither,3.2898855209350586
COL1A2,Neither,3.172083616256714
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,2.966981887817383
COL1A2,Neither,1.9940439462661743
COL1A2,Neither,2.0334115028381348
COL1A2,Neither,1.3533227443695068
COL1A2,Neither,2.9031496047973633
COL1A2,Neither,3.325383186340332
COL1A2,Neither,1.5052062273025513
COL1A2,Neither,0.0
COL1A2,Neither,2.2119367122650146
COL1A2,Neither,4.048272132873535
COL1A2,Neither,1.9828896522521973
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,2.5815396308898926
COL1A2,Neither,3.820847272872925
COL1A2,Neither,1.9529718160629272
COL1A2,Neither,2.1648247241973877
COL1A2,Neither,2.0724728107452393
COL1A2,Neither,1.7847111225128174
COL1A2,Neither,2.0733840465545654
COL1A2,Neither,2.516066074371338
COL1A2,Neither,1.6191076040267944
COL1A2,Neither,1.8373430967330933
COL1A2,Neither,0.0
COL1A2,Neither,2.45300555229187
COL1A2,Neither,0.0
COL1A2,Neither,3.056666612625122
COL1A2,Neither,0.0
COL1A2,Neither,1.050742268562317
COL1A2,Neither,3.1671695709228516
COL1A2,Neither,3.547746181488037
COL1A2,Neither,2.152068614959717
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,2.823230266571045
COL1A2,Neither,0.0
COL1A2,Neither,3.0196285247802734
COL1A2,Neither,3.4395334720611572
COL1A2,Neither,2.004530429840088
COL1A2,Neither,0.0
COL1A2,Neither,3.649806261062622
COL1A2,Neither,0.0
COL1A2,Neither,3.2372331619262695
COL1A2,Neither,0.0
COL1A2,Neither,1.8921781778335571
COL1A2,Neither,3.910200357437134
COL1A2,Neither,0.0
COL1A2,Neither,2.826462507247925
COL1A2,Neither,0.0
COL1A2,Neither,0.9693102836608887
COL1A2,Neither,1.7407218217849731
COL1A2,Neither,3.3848390579223633
COL1A2,Neither,1.7736579179763794
COL1A2,Neither,4.009281158447266
COL1A2,Neither,2.4398398399353027
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,3.1797804832458496
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,1.4607213735580444
COL1A2,Neither,4.049623489379883
COL1A2,Neither,2.438646078109741
COL1A2,Neither,0.0
COL1A2,Neither,2.0025877952575684
COL1A2,Neither,5.269514560699463
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,2.8025763034820557
COL1A2,Neither,2.990102529525757
COL1A2,Neither,0.0
COL1A2,Neither,1.4546523094177246
COL1A2,Neither,3.164722442626953
COL1A2,Neither,2.438646078109741
COL1A2,Neither,3.4887819290161133
COL1A2,Neither,2.23769474029541
COL1A2,Neither,1.5669870376586914
COL1A2,Neither,1.8458267450332642
COL1A2,Neither,3.0294108390808105
COL1A2,Neither,1.9885823726654053
COL1A2,Neither,3.089421272277832
COL1A2,Neither,3.814319610595703
COL1A2,Neither,2.2217745780944824
COL1A2,Neither,2.6289334297180176
COL1A2,Neither,4.350188732147217
COL1A2,Neither,2.1606252193450928
COL1A2,Neither,3.317021131515503
COL1A2,Neither,5.453431129455566
COL1A2,Neither,1.973495602607727
COL1A2,Neither,3.0594053268432617
COL1A2,Neither,5.481054782867432
COL1A2,Neither,3.608973979949951
COL1A2,Neither,2.1452670097351074
COL1A2,Neither,2.5625526905059814
COL1A2,Neither,1.9929485321044922
COL1A2,Neither,3.00064754486084
COL1A2,Neither,2.9414124488830566
COL1A2,Neither,3.8404531478881836
COL1A2,Neither,2.9297335147857666
COL1A2,Neither,1.721601128578186
COL1A2,Neither,1.7611761093139648
COL1A2,Neither,2.441514253616333
COL1A2,Neither,1.9436848163604736
COL1A2,Neither,1.8349056243896484
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,2.9926974773406982
COL1A2,Neither,1.043658971786499
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,2.346346378326416
COL1A2,Neither,1.834242343902588
COL1A2,Neither,1.1696116924285889
COL1A2,Neither,3.4234020709991455
COL1A2,Neither,1.1743800640106201
COL1A2,Neither,2.4287619590759277
COL1A2,Neither,2.0160088539123535
COL1A2,Neither,2.1133906841278076
COL1A2,Neither,1.4989646673202515
COL1A2,Neither,1.5408117771148682
COL1A2,Neither,1.67881441116333
COL1A2,Neither,2.2103688716888428
COL1A2,Neither,1.8864589929580688
COL1A2,Neither,0.0
COL1A2,Neither,2.256610631942749
COL1A2,Neither,0.0
COL1A2,Neither,0.9991066455841064
COL1A2,Neither,1.7469524145126343
COL1A2,Neither,2.022524118423462
COL1A2,Neither,2.554745674133301
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,2.586636543273926
COL1A2,Neither,0.0
COL1A2,Neither,1.5663871765136719
COL1A2,Neither,1.2395294904708862
COL1A2,Neither,1.6236684322357178
COL1A2,Neither,3.027165412902832
COL1A2,Neither,1.6002219915390015
COL1A2,Neither,2.4178285598754883
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,3.5200726985931396
COL1A2,Neither,1.921954870223999
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,1.1820058822631836
COL1A2,Neither,1.992401361465454
COL1A2,Neither,1.2563458681106567
COL1A2,Neither,1.685584545135498
COL1A2,Neither,1.539372205734253
COL1A2,Neither,1.7057510614395142
COL1A2,Neither,1.344659447669983
COL1A2,Neither,4.270930767059326
COL1A2,Neither,0.0
COL1A2,Neither,2.139625072479248
COL1A2,Neither,1.7318613529205322
COL1A2,Neither,2.2170228958129883
COL1A2,Neither,2.219029664993286
COL1A2,Neither,0.0
COL1A2,Neither,1.4000248908996582
COL1A2,Neither,1.8897898197174072
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,0.7577778100967407
COL1A2,Neither,2.2940127849578857
COL1A2,Neither,1.9039943218231201
COL1A2,Neither,1.3174089193344116
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,1.5657879114151
COL1A2,Neither,3.0388259887695312
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,1.9081382751464844
COL1A2,Neither,1.726522445678711
COL1A2,Neither,2.1499438285827637
COL1A2,Neither,2.87207293510437
COL1A2,Neither,2.214475631713867
COL1A2,Neither,0.0
COL1A2,Neither,2.0148813724517822
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,1.6223621368408203
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,1.853048324584961
COL1A2,Neither,0.0
COL1A2,Neither,1.7690019607543945
COL1A2,Neither,0.0
COL1A2,Neither,1.3010311126708984
COL1A2,Neither,1.9431723356246948
COL1A2,Neither,1.5892670154571533
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,1.380547046661377
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,1.305719017982483
COL1A2,Neither,0.0
COL1A2,Neither,1.4528932571411133
COL1A2,Neither,1.3527554273605347
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,1.3194139003753662
COL1A2,Neither,3.0294108390808105
COL1A2,Neither,2.6675631999969482
COL1A2,Neither,1.2927268743515015
COL1A2,Neither,0.0
COL1A2,Neither,2.6647610664367676
COL1A2,Neither,1.5279686450958252
COL1A2,Neither,2.35579776763916
COL1A2,Neither,1.2237188816070557
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,2.5051159858703613
COL1A2,Neither,0.0
COL1A2,Neither,1.5198256969451904
COL1A2,Neither,2.0157268047332764
COL1A2,Neither,3.0035560131073
COL1A2,Neither,2.1152050495147705
COL1A2,Neither,0.0
COL1A2,Neither,3.275078296661377
COL1A2,Neither,1.6483033895492554
COL1A2,Neither,2.4265637397766113
COL1A2,Neither,1.2062174081802368
COL1A2,Neither,0.0
COL1A2,Neither,1.7655799388885498
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,1.564889907836914
COL1A2,Neither,2.3909544944763184
COL1A2,Neither,2.3501999378204346
COL1A2,Neither,2.3160147666931152
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,2.689458131790161
COL1A2,Neither,3.3813037872314453
COL1A2,Neither,1.7995096445083618
COL1A2,Neither,0.0
COL1A2,Neither,2.1558852195739746
COL1A2,Neither,2.52738618850708
COL1A2,Neither,1.605131983757019
COL1A2,Neither,1.8765560388565063
COL1A2,Neither,2.2132656574249268
COL1A2,Neither,1.2343236207962036
COL1A2,Neither,0.0
COL1A2,Neither,1.8189351558685303
COL1A2,Neither,3.134538173675537
COL1A2,Neither,0.0
COL1A2,Neither,1.6818349361419678
COL1A2,Neither,0.0
COL1A2,Neither,2.1059625148773193
COL1A2,Neither,1.022334337234497
COL1A2,Neither,2.681394100189209
COL1A2,Neither,1.5550925731658936
COL1A2,Neither,1.7855366468429565
COL1A2,Neither,2.029956817626953
COL1A2,Neither,1.769607424736023
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,2.1665334701538086
COL1A2,Neither,1.2390066385269165
COL1A2,Neither,1.7372413873672485
COL1A2,Neither,0.0
COL1A2,Neither,1.8569141626358032
COL1A2,Neither,1.6659929752349854
COL1A2,Neither,1.9853241443634033
COL1A2,Neither,2.1644833087921143
COL1A2,Neither,1.4287779331207275
COL1A2,Neither,0.0
COL1A2,Neither,1.9986255168914795
COL1A2,Neither,2.205564260482788
COL1A2,Neither,3.6385602951049805
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,1.6445839405059814
COL1A2,Neither,1.5134403705596924
COL1A2,Neither,3.362288475036621
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,1.9052108526229858
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,1.6537500619888306
COL1A2,Neither,2.296621799468994
COL1A2,Neither,1.4321657419204712
COL1A2,Neither,2.4202370643615723
COL1A2,Neither,0.0
COL1A2,Neither,2.8302066326141357
COL1A2,Neither,1.7639753818511963
COL1A2,Neither,2.059231758117676
COL1A2,Neither,0.0
COL1A2,Neither,2.4114131927490234
COL1A2,Neither,2.5757243633270264
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,1.2787137031555176
COL1A2,Neither,1.8971389532089233
COL1A2,Neither,3.7928779125213623
COL1A2,Neither,2.7805936336517334
COL1A2,Neither,1.3016149997711182
COL1A2,Neither,1.5000457763671875
COL1A2,Neither,1.8507839441299438
COL1A2,Neither,1.6049729585647583
COL1A2,Neither,0.0
COL1A2,Neither,2.4015395641326904
COL1A2,Neither,1.8361603021621704
COL1A2,Neither,3.2089455127716064
COL1A2,Neither,0.0
COL1A2,Neither,1.2615824937820435
COL1A2,Neither,0.0
COL1A2,Neither,4.217883586883545
COL1A2,Neither,1.0016067028045654
COL1A2,Neither,2.789149284362793
