feature,kras_egfr_group,value
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,2.3281805515289307
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
CD68,Neither,0.0
