sample_name,disease_status,gene_set,anchor_gene,target_gene,correlation,pearson_pvalue,n_spots
P24T2,cancer,Set_1,MIF,CD74,0.055390775,0.0010600355296943615,3491
P24T2,cancer,Set_1,MIF,CXCR4,-0.04329724,0.010512865753187469,3491
P24T2,cancer,Set_2,MIF,CD74,0.055390775,0.0010600355296943615,3491
P24T2,cancer,Set_2,MIF,CD44,0.053701825,0.0015029694868534157,3491
P24T2,cancer,Set_3,ANXA1,FPR1,-0.007834846,0.6435358773730602,3491
P24T2,cancer,Set_4,PPIA,BSG,0.23797089,3.843497587370895e-46,3491
P24T2,cancer,Set_5,FN1,CD44,0.12454491,1.5264808697849185e-13,3491
P24T2,cancer,Set_6,FN1,ITGA3,-0.115946904,6.356639774289881e-12,3491
P24T2,cancer,Set_7,COL1A2,ITGA3,-0.1800068,8.244050953673564e-27,3491
P24T2,cancer,Set_8,APP,CD74,0.09033516,8.969766568792554e-08,3491
P24T2,cancer,Set_9,LAMC1,ITGA3,0.026973275,0.11106451398803567,3491
P24T2,cancer,Set_10,CD6,ALCAM,-0.004987367,0.7683198555114438,3491
P15B1,non-cancer,Set_1,MIF,CD74,0.011392063,0.5436638632092361,2844
P15B1,non-cancer,Set_1,MIF,CXCR4,0.0055076797,0.7690688721907099,2844
P15B1,non-cancer,Set_2,MIF,CD74,0.011392063,0.5436638632092361,2844
P15B1,non-cancer,Set_2,MIF,CD44,0.058288287,0.0018724998405243761,2844
P15B1,non-cancer,Set_3,ANXA1,FPR1,0.036815338,0.04963064584452642,2844
P15B1,non-cancer,Set_4,PPIA,BSG,0.122025385,6.618232026003186e-11,2844
P15B1,non-cancer,Set_5,FN1,CD44,0.14447272,9.796488521135593e-15,2844
P15B1,non-cancer,Set_6,FN1,ITGA3,0.1016517,5.550947044261803e-08,2844
P15B1,non-cancer,Set_7,COL1A2,ITGA3,0.045686625,0.014824805378588725,2844
P15B1,non-cancer,Set_8,APP,CD74,0.028699134,0.12598128624483482,2844
P15B1,non-cancer,Set_9,LAMC1,ITGA3,-0.0028259018,0.8802620410475237,2844
P15B1,non-cancer,Set_10,CD6,ALCAM,0.025841093,0.1682934105978505,2844
P10T1,cancer,Set_1,MIF,CD74,0.18414825,3.121033308726958e-18,2200
P10T1,cancer,Set_1,MIF,CXCR4,0.01759094,0.40955152588630706,2200
P10T1,cancer,Set_2,MIF,CD74,0.18414825,3.121033308726958e-18,2200
P10T1,cancer,Set_2,MIF,CD44,0.12751675,1.9468128356282963e-09,2200
P10T1,cancer,Set_3,ANXA1,FPR1,0.0031590853,0.882271432056238,2200
P10T1,cancer,Set_4,PPIA,BSG,0.20859808,4.715758722848993e-23,2200
P10T1,cancer,Set_5,FN1,CD44,-0.0298544,0.1615697261914797,2200
P10T1,cancer,Set_6,FN1,ITGA3,-0.07139881,0.0008044029380464703,2200
P10T1,cancer,Set_7,COL1A2,ITGA3,-0.15005636,1.5014371310746511e-12,2200
P10T1,cancer,Set_8,APP,CD74,0.22469056,1.4116957437243978e-26,2200
P10T1,cancer,Set_9,LAMC1,ITGA3,0.02778335,0.19268901335065458,2200
P10T1,cancer,Set_10,CD6,ALCAM,-0.040833935,0.05549358703454555,2200
P11T2,cancer,Set_1,MIF,CD74,0.11773723,5.1803727111886385e-05,1176
P11T2,cancer,Set_1,MIF,CXCR4,-0.14588135,5.053540557314332e-07,1176
P11T2,cancer,Set_2,MIF,CD74,0.11773723,5.1803727111886385e-05,1176
P11T2,cancer,Set_2,MIF,CD44,0.120654,3.3490474611873605e-05,1176
P11T2,cancer,Set_3,ANXA1,FPR1,0.03277462,0.2614197475858787,1176
P11T2,cancer,Set_4,PPIA,BSG,0.18097247,4.074480527323288e-10,1176
P11T2,cancer,Set_5,FN1,CD44,0.054303914,0.06265530737998261,1176
P11T2,cancer,Set_6,FN1,ITGA3,-0.006532238,0.8229337370514397,1176
P11T2,cancer,Set_7,COL1A2,ITGA3,-0.07350667,0.011686079071926442,1176
P11T2,cancer,Set_8,APP,CD74,0.069432676,0.017247580289291253,1176
P11T2,cancer,Set_9,LAMC1,ITGA3,0.05762416,0.0481958628819804,1176
P11T2,cancer,Set_10,CD6,ALCAM,0.07009187,0.01621448666331931,1176
P17T2,cancer,Set_1,MIF,CD74,-0.34003925,7.854839022803592e-81,2953
P17T2,cancer,Set_1,MIF,CXCR4,-0.2353604,1.8826483762982557e-38,2953
P17T2,cancer,Set_2,MIF,CD74,-0.34003925,7.854839022803592e-81,2953
P17T2,cancer,Set_2,MIF,CD44,0.27626073,7.0937329640225815e-53,2953
P17T2,cancer,Set_3,ANXA1,FPR1,-0.0234779,0.20214637498587584,2953
P17T2,cancer,Set_4,PPIA,BSG,0.15795037,5.9306766561796614e-18,2953
P17T2,cancer,Set_5,FN1,CD44,-0.26687163,2.476360682766835e-49,2953
P17T2,cancer,Set_6,FN1,ITGA3,-0.09983862,5.428476266793844e-08,2953
P17T2,cancer,Set_7,COL1A2,ITGA3,-0.10569747,8.53878855764654e-09,2953
P17T2,cancer,Set_8,APP,CD74,0.007029932,0.7025651239302929,2953
P17T2,cancer,Set_9,LAMC1,ITGA3,0.06283187,0.00063476153318094,2953
P17T2,cancer,Set_10,CD6,ALCAM,-0.021686822,0.23874306271330728,2953
P16B1,non-cancer,Set_1,MIF,CD74,0.09804539,4.0150665795380636e-08,3123
P16B1,non-cancer,Set_1,MIF,CXCR4,0.014966866,0.4030888286546633,3123
P16B1,non-cancer,Set_2,MIF,CD74,0.09804539,4.0150665795380636e-08,3123
P16B1,non-cancer,Set_2,MIF,CD44,0.006308778,0.7245226179968106,3123
P16B1,non-cancer,Set_3,ANXA1,FPR1,0.042219594,0.018299621231604616,3123
P16B1,non-cancer,Set_4,PPIA,BSG,0.06542887,0.000253328435418053,3123
P16B1,non-cancer,Set_5,FN1,CD44,0.08737348,1.0075291001087933e-06,3123
P16B1,non-cancer,Set_6,FN1,ITGA3,0.10819524,1.3465442511792062e-09,3123
P16B1,non-cancer,Set_7,COL1A2,ITGA3,0.029482145,0.09950194456653591,3123
P16B1,non-cancer,Set_8,APP,CD74,0.07411266,3.387153452505329e-05,3123
P16B1,non-cancer,Set_9,LAMC1,ITGA3,0.008430153,0.6376915610306032,3123
P16B1,non-cancer,Set_10,CD6,ALCAM,0.024708446,0.16744505073923308,3123
P19B2,non-cancer,Set_1,MIF,CD74,0.12653157,5.03457794010726e-09,2120
P19B2,non-cancer,Set_1,MIF,CXCR4,0.019362915,0.3728791214464666,2120
P19B2,non-cancer,Set_2,MIF,CD74,0.12653157,5.03457794010726e-09,2120
P19B2,non-cancer,Set_2,MIF,CD44,0.045221426,0.037343578300458556,2120
P19B2,non-cancer,Set_3,ANXA1,FPR1,0.055474278,0.01062828929588388,2120
P19B2,non-cancer,Set_4,PPIA,BSG,0.11310862,1.773794229123782e-07,2120
P19B2,non-cancer,Set_5,FN1,CD44,0.06847811,0.0016060104836353728,2120
P19B2,non-cancer,Set_6,FN1,ITGA3,0.03881385,0.07397900499842819,2120
P19B2,non-cancer,Set_7,COL1A2,ITGA3,-0.012060437,0.578896772669903,2120
P19B2,non-cancer,Set_8,APP,CD74,0.08528966,8.428393245000029e-05,2120
P19B2,non-cancer,Set_9,LAMC1,ITGA3,0.0056377053,0.795304709581761,2120
P19B2,non-cancer,Set_10,CD6,ALCAM,0.0028002542,0.8974703322471803,2120
P25T1,cancer,Set_1,MIF,CD74,0.18430485,1.8567227337674884e-11,1308
P25T1,cancer,Set_1,MIF,CXCR4,0.018998249,0.4923971939497981,1308
P25T1,cancer,Set_2,MIF,CD74,0.18430485,1.8567227337674884e-11,1308
P25T1,cancer,Set_2,MIF,CD44,0.13431227,1.0878875322382054e-06,1308
P25T1,cancer,Set_3,ANXA1,FPR1,0.009629782,0.7278788464783857,1308
P25T1,cancer,Set_4,PPIA,BSG,0.19605663,8.465895823059582e-13,1308
P25T1,cancer,Set_5,FN1,CD44,0.15560618,1.5421567257479598e-08,1308
P25T1,cancer,Set_6,FN1,ITGA3,0.11137276,5.4219475250965064e-05,1308
P25T1,cancer,Set_7,COL1A2,ITGA3,-0.12286679,8.339390357666275e-06,1308
P25T1,cancer,Set_8,APP,CD74,0.1679408,9.873494235234815e-10,1308
P25T1,cancer,Set_9,LAMC1,ITGA3,0.031533077,0.25444163282438326,1308
P25T1,cancer,Set_10,CD6,ALCAM,-0.01911975,0.48963319915117537,1308
P25B2,non-cancer,Set_1,MIF,CD74,0.085675344,6.669411651226667e-05,2161
P25B2,non-cancer,Set_1,MIF,CXCR4,0.04598592,0.03254751481972406,2161
P25B2,non-cancer,Set_2,MIF,CD74,0.085675344,6.669411651226667e-05,2161
P25B2,non-cancer,Set_2,MIF,CD44,0.06321026,0.0032856517232899853,2161
P25B2,non-cancer,Set_3,ANXA1,FPR1,0.008433282,0.6951953519622297,2161
P25B2,non-cancer,Set_4,PPIA,BSG,0.09859532,4.392353730905155e-06,2161
P25B2,non-cancer,Set_5,FN1,CD44,0.0028710198,0.8938874220289863,2161
P25B2,non-cancer,Set_6,FN1,ITGA3,0.05866443,0.006374299268058473,2161
P25B2,non-cancer,Set_7,COL1A2,ITGA3,-0.0065871216,0.7595751382023064,2161
P25B2,non-cancer,Set_8,APP,CD74,-0.005164835,0.8103627487067332,2161
P25B2,non-cancer,Set_9,LAMC1,ITGA3,0.05544164,0.009943655712145933,2161
P25B2,non-cancer,Set_10,CD6,ALCAM,-0.013378605,0.5342093440727924,2161
VISDS000181,cancer,Set_1,MIF,CD74,0.13304347,4.739442196054745e-06,1175
VISDS000181,cancer,Set_1,MIF,CXCR4,0.018189162,0.5333627417422766,1175
VISDS000181,cancer,Set_2,MIF,CD74,0.13304347,4.739442196054745e-06,1175
VISDS000181,cancer,Set_2,MIF,CD44,0.103990115,0.00035631180259762513,1175
VISDS000181,cancer,Set_3,ANXA1,FPR1,-0.008570823,0.7691509296185957,1175
VISDS000181,cancer,Set_4,PPIA,BSG,0.19282775,2.639160667985072e-11,1175
VISDS000181,cancer,Set_5,FN1,CD44,-0.039132994,0.18008376044123164,1175
VISDS000181,cancer,Set_6,FN1,ITGA3,-0.13788775,2.0933044631893425e-06,1175
VISDS000181,cancer,Set_7,COL1A2,ITGA3,-0.040377997,0.16661000841359871,1175
VISDS000181,cancer,Set_8,APP,CD74,0.08495211,0.0035662254472048583,1175
VISDS000181,cancer,Set_9,LAMC1,ITGA3,-0.011327604,0.6980975398215754,1175
VISDS000181,cancer,Set_10,CD6,ALCAM,0.07993932,0.006113072690096942,1175
P11T4,cancer,Set_1,MIF,CD74,0.15080217,1.1184941023929657e-10,1811
P11T4,cancer,Set_1,MIF,CXCR4,0.0035299286,0.8806732173460675,1811
P11T4,cancer,Set_2,MIF,CD74,0.15080217,1.1184941023929657e-10,1811
P11T4,cancer,Set_2,MIF,CD44,0.07073739,0.002595457674632265,1811
P11T4,cancer,Set_3,ANXA1,FPR1,0.04982663,0.03398350712349461,1811
P11T4,cancer,Set_4,PPIA,BSG,0.15845461,1.1901784856886626e-11,1811
P11T4,cancer,Set_5,FN1,CD44,0.016892135,0.47250204578742705,1811
P11T4,cancer,Set_6,FN1,ITGA3,-0.005811017,0.8048121930045963,1811
P11T4,cancer,Set_7,COL1A2,ITGA3,-0.07979479,0.000676795595582903,1811
P11T4,cancer,Set_8,APP,CD74,0.08599529,0.000248438621182536,1811
P11T4,cancer,Set_9,LAMC1,ITGA3,0.05294632,0.0242465243832554,1811
P11T4,cancer,Set_10,CD6,ALCAM,0.054304726,0.020827699248865014,1811
P10T2,cancer,Set_1,MIF,CD74,0.2095676,3.785055596406277e-21,1986
P10T2,cancer,Set_1,MIF,CXCR4,-0.0017368791,0.9383414727017417,1986
P10T2,cancer,Set_2,MIF,CD74,0.2095676,3.785055596406277e-21,1986
P10T2,cancer,Set_2,MIF,CD44,0.1669038,7.107106625976858e-14,1986
P10T2,cancer,Set_3,ANXA1,FPR1,-0.006841946,0.7605794852112556,1986
P10T2,cancer,Set_4,PPIA,BSG,0.20572981,2.0114895834524688e-20,1986
P10T2,cancer,Set_5,FN1,CD44,-0.07404691,0.0009588708525625981,1986
P10T2,cancer,Set_6,FN1,ITGA3,-0.11320932,4.2319710072895665e-07,1986
P10T2,cancer,Set_7,COL1A2,ITGA3,-0.15476277,4.079178776434253e-12,1986
P10T2,cancer,Set_8,APP,CD74,0.14190878,2.1212910510312568e-10,1986
P10T2,cancer,Set_9,LAMC1,ITGA3,0.045173086,0.044127381276610415,1986
P10T2,cancer,Set_10,CD6,ALCAM,-0.047214396,0.03538390630650143,1986
P15T1,cancer,Set_1,MIF,CD74,0.10659004,4.423043843595767e-08,2624
P15T1,cancer,Set_1,MIF,CXCR4,0.047553685,0.014844332862289594,2624
P15T1,cancer,Set_2,MIF,CD74,0.10659004,4.423043843595767e-08,2624
P15T1,cancer,Set_2,MIF,CD44,0.059330795,0.00236224882293749,2624
P15T1,cancer,Set_3,ANXA1,FPR1,0.008353565,0.6688587130126007,2624
P15T1,cancer,Set_4,PPIA,BSG,0.0905831,3.3603979898613663e-06,2624
P15T1,cancer,Set_5,FN1,CD44,0.08211038,2.540041274990854e-05,2624
P15T1,cancer,Set_6,FN1,ITGA3,-0.009000834,0.6449009760686051,2624
P15T1,cancer,Set_7,COL1A2,ITGA3,-0.042321414,0.030169914588719347,2624
P15T1,cancer,Set_8,APP,CD74,-0.015121099,0.4387809682607769,2624
P15T1,cancer,Set_9,LAMC1,ITGA3,-0.025035154,0.19983721211304575,2624
P15T1,cancer,Set_10,CD6,ALCAM,-0.061582707,0.0015991244889328555,2624
P10_T4,cancer,Set_1,MIF,CD74,0.16710274,5.5353872473729614e-17,2479
P10_T4,cancer,Set_1,MIF,CXCR4,0.0596956,0.0029454885063625916,2479
P10_T4,cancer,Set_2,MIF,CD74,0.16710274,5.5353872473729614e-17,2479
P10_T4,cancer,Set_2,MIF,CD44,0.15685041,4.0222172864720695e-15,2479
P10_T4,cancer,Set_3,ANXA1,FPR1,0.032113556,0.10992605874505565,2479
P10_T4,cancer,Set_4,PPIA,BSG,0.18802759,3.677693392547722e-21,2479
P10_T4,cancer,Set_5,FN1,CD44,-0.034820847,0.0830306749440759,2479
P10_T4,cancer,Set_6,FN1,ITGA3,-0.07923574,7.836924737378757e-05,2479
P10_T4,cancer,Set_7,COL1A2,ITGA3,-0.19845381,1.9547667885120738e-23,2479
P10_T4,cancer,Set_8,APP,CD74,0.09370457,2.961942671851664e-06,2479
P10_T4,cancer,Set_9,LAMC1,ITGA3,0.030020146,0.1351043649124428,2479
P10_T4,cancer,Set_10,CD6,ALCAM,-0.0026459945,0.8952400301385406,2479
D1_2,non-cancer,Set_1,MIF,CD74,0.21643567,6.832960620529439e-05,333
D1_2,non-cancer,Set_1,MIF,CXCR4,0.06852256,0.21233010812939537,333
D1_2,non-cancer,Set_2,MIF,CD74,0.21643567,6.832960620529439e-05,333
D1_2,non-cancer,Set_2,MIF,CD44,0.2015545,0.00021368771436006852,333
D1_2,non-cancer,Set_3,ANXA1,FPR1,0.08130328,0.13873484584897874,333
D1_2,non-cancer,Set_4,PPIA,BSG,-0.004745705,0.9312471479780716,333
D1_2,non-cancer,Set_5,FN1,CD44,0.07883553,0.15116208058059727,333
D1_2,non-cancer,Set_6,FN1,ITGA3,0.1423257,0.009303745137900162,333
D1_2,non-cancer,Set_7,COL1A2,ITGA3,-0.11344198,0.038544101310007406,333
D1_2,non-cancer,Set_8,APP,CD74,0.10809099,0.04874260436688758,333
D1_2,non-cancer,Set_9,LAMC1,ITGA3,0.03895037,0.47871322870304994,333
D1_2,non-cancer,Set_10,CD6,ALCAM,-0.06398319,0.24426736807863556,333
P16T1,cancer,Set_1,MIF,CD74,-0.025105376,0.2326532466256334,2262
P16T1,cancer,Set_1,MIF,CXCR4,0.031417068,0.1352399611164248,2262
P16T1,cancer,Set_2,MIF,CD74,-0.025105376,0.2326532466256334,2262
P16T1,cancer,Set_2,MIF,CD44,-0.013446121,0.5227061924314989,2262
P16T1,cancer,Set_3,ANXA1,FPR1,0.050308935,0.016715330878379783,2262
P16T1,cancer,Set_4,PPIA,BSG,0.13783006,4.6079253838730683e-11,2262
P16T1,cancer,Set_5,FN1,CD44,0.16928759,5.252135734417302e-16,2262
P16T1,cancer,Set_6,FN1,ITGA3,0.07703085,0.00024536546471842124,2262
P16T1,cancer,Set_7,COL1A2,ITGA3,-0.08592816,4.274909374551798e-05,2262
P16T1,cancer,Set_8,APP,CD74,0.010024317,0.6337112058547308,2262
P16T1,cancer,Set_9,LAMC1,ITGA3,0.028307026,0.1783600951413635,2262
P16T1,cancer,Set_10,CD6,ALCAM,-0.014394579,0.493804528803092,2262
D2_1,non-cancer,Set_1,MIF,CD74,0.13713935,3.107673138534519e-09,1852
D2_1,non-cancer,Set_1,MIF,CXCR4,0.08706522,0.0001758245763106896,1852
D2_1,non-cancer,Set_2,MIF,CD74,0.13713935,3.107673138534519e-09,1852
D2_1,non-cancer,Set_2,MIF,CD44,0.08636375,0.0001983589052440639,1852
D2_1,non-cancer,Set_3,ANXA1,FPR1,0.05170191,0.026083192376870543,1852
D2_1,non-cancer,Set_4,PPIA,BSG,0.14004858,1.4238918378384882e-09,1852
D2_1,non-cancer,Set_5,FN1,CD44,0.13204238,1.1731728771660385e-08,1852
D2_1,non-cancer,Set_6,FN1,ITGA3,0.057798274,0.012855709429618993,1852
D2_1,non-cancer,Set_7,COL1A2,ITGA3,-0.007099005,0.7601358979357901,1852
D2_1,non-cancer,Set_8,APP,CD74,0.07359691,0.0015275727877866127,1852
D2_1,non-cancer,Set_9,LAMC1,ITGA3,0.0055694603,0.8107015877152601,1852
D2_1,non-cancer,Set_10,CD6,ALCAM,0.018548202,0.4250160780963443,1852
P10T3,cancer,Set_1,MIF,CD74,0.15158615,6.939563900042991e-15,2610
P10T3,cancer,Set_1,MIF,CXCR4,0.046354372,0.01787012831443493,2610
P10T3,cancer,Set_2,MIF,CD74,0.15158615,6.939563900042991e-15,2610
P10T3,cancer,Set_2,MIF,CD44,0.15924631,2.746207065931553e-16,2610
P10T3,cancer,Set_3,ANXA1,FPR1,0.03436885,0.07917060883134935,2610
P10T3,cancer,Set_4,PPIA,BSG,0.17686725,8.758814671315784e-20,2610
P10T3,cancer,Set_5,FN1,CD44,-0.027439795,0.1610822477591635,2610
P10T3,cancer,Set_6,FN1,ITGA3,-0.07933912,4.954876269643494e-05,2610
P10T3,cancer,Set_7,COL1A2,ITGA3,-0.17619294,1.2112304592519548e-19,2610
P10T3,cancer,Set_8,APP,CD74,0.13610214,2.9020112276312474e-12,2610
P10T3,cancer,Set_9,LAMC1,ITGA3,0.045338422,0.02053981783306032,2610
P10T3,cancer,Set_10,CD6,ALCAM,-0.011772448,0.5477298066321612,2610
P19T2,cancer,Set_1,MIF,CD74,-0.13650212,2.5298612761171903e-11,2369
P19T2,cancer,Set_1,MIF,CXCR4,-0.05851458,0.004385941344544962,2369
P19T2,cancer,Set_2,MIF,CD74,-0.13650212,2.5298612761171903e-11,2369
