"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","thresh_used"
"Alveolar fibroblasts","AT1","NRG1","ERBB3",0.0153509570890384,0,"NRG1_ERBB3","NRG1 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012",0.05
"Alveolar fibroblasts","AT2","NRG1","ERBB4",0.0157350848555368,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012",0.05
"Alveolar fibroblasts","Multiciliated (nasal)","NRG1","ERBB4",0.0403142706263643,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012",0.05
"Alveolar fibroblasts","Multiciliated (nasal)","NRG1","ERBB2_ERBB4",0.016981308369416,0,"NRG1_ERBB2_ERBB4","NRG1 - (ERBB2+ERBB4)","NRG","Secreted Signaling","KEGG: hsa04012",0.05
"Alveolar fibroblasts","AT1","IGF1","IGF1R",0.0330727824956028,0,"IGF1_IGF1R","IGF1 - IGF1R","IGF","Secreted Signaling","PMID: 14604834",0.05
"Alveolar fibroblasts","AT2","IGF1","IGF1R",0.0260439899133122,0,"IGF1_IGF1R","IGF1 - IGF1R","IGF","Secreted Signaling","PMID: 14604834",0.05
"Alveolar fibroblasts","Multiciliated (nasal)","IGF1","IGF1R",0.0367563489132801,0,"IGF1_IGF1R","IGF1 - IGF1R","IGF","Secreted Signaling","PMID: 14604834",0.05
"Adventitial fibroblasts","AT2","SPP1","CD44",0.0207409745758775,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263",0.05
"Adventitial fibroblasts","AT1","SPP1","ITGAV_ITGB1",0.0220923964525432,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263",0.05
"Adventitial fibroblasts","AT2","SPP1","ITGAV_ITGB1",0.0195302379642515,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263",0.05
"Adventitial fibroblasts","Multiciliated (nasal)","SPP1","ITGAV_ITGB1",0.0145251961375699,0.04,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263",0.05
"Adventitial fibroblasts","AT1","SPP1","ITGAV_ITGB6",0.0377838597397682,0,"SPP1_ITGAV_ITGB6","SPP1 - (ITGAV+ITGB6)","SPP1","Secreted Signaling","PMID: 21907263",0.05
"Adventitial fibroblasts","AT2","SPP1","ITGAV_ITGB6",0.0210315581835694,0,"SPP1_ITGAV_ITGB6","SPP1 - (ITGAV+ITGB6)","SPP1","Secreted Signaling","PMID: 21907263",0.05
"Adventitial fibroblasts","AT2","SPP1","ITGA9_ITGB1",0.0181097807852299,0,"SPP1_ITGA9_ITGB1","SPP1 - (ITGA9+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263",0.05
"Alveolar fibroblasts","AT1","ANGPT1","TEK",0.0473052995914294,0,"ANGPT1_TEK","ANGPT1 - TEK","ANGPT","Secreted Signaling","PMID: 20651738",0.05
"Alveolar fibroblasts","AT2","HGF","MET",0.0503834580895496,0,"HGF_MET","HGF - MET","HGF","Secreted Signaling","PMID: 28475121",0.05
"Alveolar fibroblasts","Multiciliated (nasal)","HGF","MET",0.0238308469658965,0,"HGF_MET","HGF - MET","HGF","Secreted Signaling","PMID: 28475121",0.05
"Alveolar fibroblasts","AT1","SLIT2","ROBO1",0.0940367329435608,0,"SLIT2_ROBO1","SLIT2 - ROBO1","SLIT","Secreted Signaling","PMID:10102268",0.05
"Adventitial fibroblasts","AT2","COL1A1","ITGA1_ITGB1",0.0396045744707051,0,"COL1A1_ITGA1_ITGB1","COL1A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Alveolar fibroblasts","AT2","COL1A1","ITGA1_ITGB1",0.0118432283844233,0,"COL1A1_ITGA1_ITGB1","COL1A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Peribronchial fibroblasts","AT2","COL1A1","ITGA1_ITGB1",0.138312876041463,0,"COL1A1_ITGA1_ITGB1","COL1A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Adventitial fibroblasts","AT2","COL1A2","ITGA1_ITGB1",0.125776047438976,0,"COL1A2_ITGA1_ITGB1","COL1A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Alveolar fibroblasts","AT2","COL1A2","ITGA1_ITGB1",0.0332539568211322,0,"COL1A2_ITGA1_ITGB1","COL1A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Peribronchial fibroblasts","AT2","COL1A2","ITGA1_ITGB1",0.139767594786511,0,"COL1A2_ITGA1_ITGB1","COL1A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Alveolar fibroblasts","AT2","COL4A1","ITGA1_ITGB1",0.0198959552965372,0,"COL4A1_ITGA1_ITGB1","COL4A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Peribronchial fibroblasts","AT2","COL4A1","ITGA1_ITGB1",0.0974422229496806,0,"COL4A1_ITGA1_ITGB1","COL4A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Alveolar fibroblasts","AT2","COL4A2","ITGA1_ITGB1",0.0571931251488122,0,"COL4A2_ITGA1_ITGB1","COL4A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Peribronchial fibroblasts","AT2","COL4A2","ITGA1_ITGB1",0.0367112215460768,0,"COL4A2_ITGA1_ITGB1","COL4A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Alveolar fibroblasts","AT2","COL4A3","ITGA1_ITGB1",0.0132116356604667,0,"COL4A3_ITGA1_ITGB1","COL4A3 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Alveolar fibroblasts","AT2","COL4A4","ITGA1_ITGB1",0.0129546616940919,0,"COL4A4_ITGA1_ITGB1","COL4A4 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Alveolar fibroblasts","AT2","COL4A5","ITGA1_ITGB1",0.0118432283844233,0,"COL4A5_ITGA1_ITGB1","COL4A5 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Alveolar fibroblasts","AT2","COL6A1","ITGA1_ITGB1",0.0186929451733726,0,"COL6A1_ITGA1_ITGB1","COL6A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Peribronchial fibroblasts","AT2","COL6A1","ITGA1_ITGB1",0.093663854186665,0,"COL6A1_ITGA1_ITGB1","COL6A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Adventitial fibroblasts","AT2","COL6A2","ITGA1_ITGB1",0.0391745359493105,0,"COL6A2_ITGA1_ITGB1","COL6A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Alveolar fibroblasts","AT2","COL6A2","ITGA1_ITGB1",0.0306839164109167,0,"COL6A2_ITGA1_ITGB1","COL6A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Peribronchial fibroblasts","AT2","COL6A2","ITGA1_ITGB1",0.0376368839057256,0,"COL6A2_ITGA1_ITGB1","COL6A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Adventitial fibroblasts","AT2","COL6A3","ITGA1_ITGB1",0.0200483263928729,0,"COL6A3_ITGA1_ITGB1","COL6A3 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Alveolar fibroblasts","AT2","COL6A3","ITGA1_ITGB1",0.0762954985325925,0,"COL6A3_ITGA1_ITGB1","COL6A3 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Peribronchial fibroblasts","AT2","COL6A3","ITGA1_ITGB1",0.135031866037869,0,"COL6A3_ITGA1_ITGB1","COL6A3 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Alveolar fibroblasts","AT2","COL6A6","ITGA1_ITGB1",0.0760062860862844,0,"COL6A6_ITGA1_ITGB1","COL6A6 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
