"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","thresh_used"
"DC2","AT2","COL1A1","ITGA1_ITGB1",0.0120052828094335,0,"COL1A1_ITGA1_ITGB1","COL1A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.01
"Alveolar macrophages","AT2","COL1A2","ITGA1_ITGB1",0.0392548334843265,0,"COL1A2_ITGA1_ITGB1","COL1A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.01
"DC2","AT2","COL1A2","ITGA1_ITGB1",0.0170550172177455,0,"COL1A2_ITGA1_ITGB1","COL1A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.01
"DC2","AT1","COL1A1","ITGA2_ITGB1",0.0138662723148656,0,"COL1A1_ITGA2_ITGB1","COL1A1 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.01
"DC2","Multiciliated (nasal)","COL1A1","ITGA2_ITGB1",0.010575140395253,0,"COL1A1_ITGA2_ITGB1","COL1A1 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.01
"Alveolar macrophages","AT1","COL1A2","ITGA2_ITGB1",0.0451468700250677,0,"COL1A2_ITGA2_ITGB1","COL1A2 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.01
"Alveolar macrophages","AT1","FN1","ITGA3_ITGB1",0.0758384074157792,0,"FN1_ITGA3_ITGB1","FN1 - (ITGA3+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512",0.01
"DC2","AT1","FN1","ITGA3_ITGB1",0.0508006296914545,0,"FN1_ITGA3_ITGB1","FN1 - (ITGA3+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512",0.01
"Alveolar macrophages","AT2","FN1","ITGA3_ITGB1",0.0401412127671439,0,"FN1_ITGA3_ITGB1","FN1 - (ITGA3+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512",0.01
"DC2","AT2","FN1","ITGA3_ITGB1",0.0265501567392951,0,"FN1_ITGA3_ITGB1","FN1 - (ITGA3+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512",0.01
"Alveolar macrophages","Multiciliated (nasal)","FN1","ITGA3_ITGB1",0.0346402660753447,0,"FN1_ITGA3_ITGB1","FN1 - (ITGA3+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512",0.01
"DC2","Multiciliated (nasal)","FN1","ITGA3_ITGB1",0.0228673546646279,0,"FN1_ITGA3_ITGB1","FN1 - (ITGA3+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512",0.01
"DC2","AT1","COL1A1","ITGA3_ITGB1",0.0236196490732268,0,"COL1A1_ITGA3_ITGB1","COL1A1 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.01
"DC2","AT2","COL1A1","ITGA3_ITGB1",0.0121779720251402,0,"COL1A1_ITGA3_ITGB1","COL1A1 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.01
