"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","thresh_used"
"Alveolar fibroblasts","AT1","BMP5","BMPR1A_BMPR2",0.208495038228506,0,"BMP5_BMPR1A_BMPR2","BMP5 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264",0.05
"Alveolar fibroblasts","Multiciliated (nasal)","BMP5","BMPR1A_BMPR2",0.0680658237240831,0,"BMP5_BMPR1A_BMPR2","BMP5 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264",0.05
"Alveolar fibroblasts","AT1","BMP5","BMPR1B_BMPR2",0.134550964090364,0,"BMP5_BMPR1B_BMPR2","BMP5 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264",0.05
"Alveolar fibroblasts","Multiciliated (nasal)","BMP5","BMPR1B_BMPR2",0.0686592156778271,0,"BMP5_BMPR1B_BMPR2","BMP5 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264",0.05
"Alveolar fibroblasts","AT1","ANGPT1","TEK",0.0818186758897773,0,"ANGPT1_TEK","ANGPT1 - TEK","ANGPT","Secreted Signaling","PMID: 20651738",0.05
"Adventitial fibroblasts","Multiciliated (non-nasal)","MDK","SDC4",0.303682297065488,0.01,"MDK_SDC4","MDK - SDC4","MK","Secreted Signaling","PMID: 28356350",0.05
"Peribronchial fibroblasts","AT1","GRN","SORT1",0.0448680873197439,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433",0.05
"Adventitial fibroblasts","Multiciliated (non-nasal)","PPIA","BSG",0.300502869635142,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604",0.05
"Alveolar fibroblasts","AT1","SLIT2","ROBO1",0.108221043543504,0,"SLIT2_ROBO1","SLIT2 - ROBO1","SLIT","Secreted Signaling","PMID:10102268",0.05
"Alveolar fibroblasts","AT1","COL1A1","ITGA2_ITGB1",0.0206396135532146,0,"COL1A1_ITGA2_ITGB1","COL1A1 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Peribronchial fibroblasts","AT1","COL1A1","ITGA2_ITGB1",0.155856039698656,0,"COL1A1_ITGA2_ITGB1","COL1A1 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Alveolar fibroblasts","AT1","COL1A2","ITGA2_ITGB1",0.0684886339281159,0,"COL1A2_ITGA2_ITGB1","COL1A2 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Peribronchial fibroblasts","AT1","COL1A2","ITGA2_ITGB1",0.156480490586513,0,"COL1A2_ITGA2_ITGB1","COL1A2 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Alveolar fibroblasts","AT1","COL4A1","ITGA2_ITGB1",0.0229585465486431,0,"COL4A1_ITGA2_ITGB1","COL4A1 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Peribronchial fibroblasts","AT1","COL4A1","ITGA2_ITGB1",0.113309425410087,0,"COL4A1_ITGA2_ITGB1","COL4A1 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
