"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","thresh_used"
"Alveolar fibroblasts","AT1","BMP5","BMPR1A_BMPR2",0.129314344999287,0,"BMP5_BMPR1A_BMPR2","BMP5 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264",0.05
"Alveolar fibroblasts","AT2","BMP5","BMPR1A_BMPR2",0.0568032591544386,0,"BMP5_BMPR1A_BMPR2","BMP5 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264",0.05
"Alveolar fibroblasts","Goblet (nasal)","BMP5","BMPR1A_BMPR2",0.0276460094177806,0,"BMP5_BMPR1A_BMPR2","BMP5 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264",0.05
"Alveolar fibroblasts","Multiciliated (nasal)","BMP5","BMPR1A_BMPR2",0.06681121604231,0,"BMP5_BMPR1A_BMPR2","BMP5 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264",0.05
"Alveolar fibroblasts","AT1","BMP5","BMPR1B_BMPR2",0.115812174155787,0,"BMP5_BMPR1B_BMPR2","BMP5 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264",0.05
"Alveolar fibroblasts","Goblet (nasal)","BMP5","BMPR1B_BMPR2",0.0679844552825287,0,"BMP5_BMPR1B_BMPR2","BMP5 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264",0.05
"Alveolar fibroblasts","Multiciliated (nasal)","BMP5","BMPR1B_BMPR2",0.0658506507073655,0,"BMP5_BMPR1B_BMPR2","BMP5 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264",0.05
"Alveolar fibroblasts","AT1","WNT2","FZD6_LRP6",0.0212786474451704,0,"WNT2_FZD6_LRP6","WNT2 - (FZD6+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147",0.05
"Alveolar fibroblasts","Goblet (nasal)","FGF2","FGFR2",0.0177606757319721,0,"FGF2_FGFR2","FGF2 - FGFR2","FGF","Secreted Signaling","PMC: 4393358",0.05
"Alveolar fibroblasts","AT1","SLIT2","ROBO1",0.109586939829754,0,"SLIT2_ROBO1","SLIT2 - ROBO1","SLIT","Secreted Signaling","PMID:10102268",0.05
"Alveolar fibroblasts","Goblet (nasal)","SLIT2","ROBO1",0.0841627085237696,0,"SLIT2_ROBO1","SLIT2 - ROBO1","SLIT","Secreted Signaling","PMID:10102268",0.05
"Alveolar fibroblasts","Goblet (nasal)","COL1A1","ITGA2_ITGB1",0.017125117843787,0,"COL1A1_ITGA2_ITGB1","COL1A1 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Peribronchial fibroblasts","Goblet (nasal)","COL1A1","ITGA2_ITGB1",0.113603245381228,0,"COL1A1_ITGA2_ITGB1","COL1A1 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Alveolar fibroblasts","Goblet (nasal)","COL1A2","ITGA2_ITGB1",0.0673573840564622,0,"COL1A2_ITGA2_ITGB1","COL1A2 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Peribronchial fibroblasts","Goblet (nasal)","COL1A2","ITGA2_ITGB1",0.117335275661189,0,"COL1A2_ITGA2_ITGB1","COL1A2 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Alveolar fibroblasts","Goblet (nasal)","COL4A1","ITGA2_ITGB1",0.017698122869952,0,"COL4A1_ITGA2_ITGB1","COL4A1 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
"Peribronchial fibroblasts","Goblet (nasal)","COL4A1","ITGA2_ITGB1",0.0719090517999198,0,"COL4A1_ITGA2_ITGB1","COL4A1 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.05
