"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","thresh_used"
"Alveolar macrophages","Goblet (nasal)","COL1A2","ITGA2_ITGB1",0.0298209467387005,0,"COL1A2_ITGA2_ITGB1","COL1A2 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.01
"Alveolar macrophages","AT1","FN1","ITGA3_ITGB1",0.048286531888046,0,"FN1_ITGA3_ITGB1","FN1 - (ITGA3+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512",0.01
"Alveolar macrophages","Goblet (nasal)","FN1","ITGA3_ITGB1",0.0281620873588409,0,"FN1_ITGA3_ITGB1","FN1 - (ITGA3+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512",0.01
"Alveolar macrophages","Multiciliated (nasal)","FN1","ITGA3_ITGB1",0.0381287269188423,0,"FN1_ITGA3_ITGB1","FN1 - (ITGA3+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512",0.01
"Alveolar macrophages","AT1","COL1A2","ITGA3_ITGB1",0.0450316774601383,0,"COL1A2_ITGA3_ITGB1","COL1A2 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.01
"Alveolar macrophages","Goblet (nasal)","COL1A2","ITGA3_ITGB1",0.0262263811818034,0,"COL1A2_ITGA3_ITGB1","COL1A2 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.01
"Alveolar macrophages","Multiciliated (nasal)","COL1A2","ITGA3_ITGB1",0.0355330163824788,0,"COL1A2_ITGA3_ITGB1","COL1A2 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.01
"Alveolar macrophages","Goblet (nasal)","FN1","CD44",0.0356883317436851,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512",0.01
"Alveolar macrophages","Goblet (nasal)","COL1A2","CD44",0.0332530138257138,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512",0.01
"Alveolar macrophages","Multiciliated (nasal)","CD46","JAG1",0.00404088140834636,0,"CD46_JAG1","CD46 - JAG1","CD46","Cell-Cell Contact","PMID: 23086448",0.01
"DC2","Multiciliated (nasal)","CD46","JAG1",0.00646290337676813,0,"CD46_JAG1","CD46 - JAG1","CD46","Cell-Cell Contact","PMID: 23086448",0.01
"Alveolar macrophages","AT1","CEACAM6","CEACAM6",0.000515524078582409,0,"CEACAM6_CEACAM6","CEACAM6 - CEACAM6","CEACAM","Cell-Cell Contact","PMID:11590190",0.01
