feature,comparison,group1,group2,n_group1,n_group2,median_group1,median_group2,U_statistic,p_value,p_value_fdr
ADIPOGENESIS,0_vs_1,Non-Cancer,Early,810705,334214,0.21693245000469,0.1084050813927708,193801486681.5,0.0,0.0
ADIPOGENESIS,0_vs_2,Non-Cancer,Advanced,810705,226725,0.21693245000469,0.09813611302509845,138449998462.0,0.0,0.0
ADIPOGENESIS,1_vs_2,Early,Advanced,334214,226725,0.1084050813927708,0.09813611302509845,40494702750.0,0.0,0.0
ALLOGRAFT_REJECTION,0_vs_1,Non-Cancer,Early,810705,334214,0.182920162267042,0.2833611765960373,114116750715.0,0.0,0.0
ALLOGRAFT_REJECTION,0_vs_2,Non-Cancer,Advanced,810705,226725,0.182920162267042,0.22062205772338966,77068969280.0,0.0,0.0
ALLOGRAFT_REJECTION,1_vs_2,Early,Advanced,334214,226725,0.2833611765960373,0.22062205772338966,39465963536.5,5.030828120783013e-155,6.036993744939616e-155
ANDROGEN_RESPONSE,0_vs_1,Non-Cancer,Early,810705,334214,0.1962311325527027,0.1193614077465157,197857251650.5,0.0,0.0
ANDROGEN_RESPONSE,0_vs_2,Non-Cancer,Advanced,810705,226725,0.1962311325527027,0.13178749576995136,127160165694.0,0.0,0.0
ANDROGEN_RESPONSE,1_vs_2,Early,Advanced,334214,226725,0.1193614077465157,0.13178749576995136,34092535419.5,0.0,0.0
ANGIOGENESIS,0_vs_1,Non-Cancer,Early,810705,334214,0.07048300620837089,0.04177325181471996,155731233950.5,0.0,0.0
ANGIOGENESIS,0_vs_2,Non-Cancer,Advanced,810705,226725,0.07048300620837089,0.06564451596675776,90314977067.5,2.0613402781835318e-36,2.2645710098354293e-36
ANGIOGENESIS,1_vs_2,Early,Advanced,334214,226725,0.04177325181471996,0.06564451596675776,32021650411.5,0.0,0.0
APICAL_JUNCTION,0_vs_1,Non-Cancer,Early,810705,334214,0.10081852362911485,0.0747424343799023,172339097640.5,0.0,0.0
APICAL_JUNCTION,0_vs_2,Non-Cancer,Advanced,810705,226725,0.10081852362911485,0.07398033666450526,116049597503.5,0.0,0.0
APICAL_JUNCTION,1_vs_2,Early,Advanced,334214,226725,0.0747424343799023,0.07398033666450526,37771875570.5,0.052381606058164915,0.053408696373030896
APICAL_SURFACE,0_vs_1,Non-Cancer,Early,810705,334214,0.011295211566209634,0.0013671341336455312,144963708532.0,0.0,0.0
APICAL_SURFACE,0_vs_2,Non-Cancer,Advanced,810705,226725,0.011295211566209634,0.008984290788435198,94413982685.0,3.019512005149997e-88,3.388804840312227e-88
APICAL_SURFACE,1_vs_2,Early,Advanced,334214,226725,0.0013671341336455312,0.008984290788435198,36410803359.0,7.13040728087221e-136,8.239581746785666e-136
APOPTOSIS,0_vs_1,Non-Cancer,Early,810705,334214,0.24920333463538824,0.16365508214388236,190602001407.0,0.0,0.0
APOPTOSIS,0_vs_2,Non-Cancer,Advanced,810705,226725,0.24920333463538824,0.15773500207486138,130526827099.0,0.0,0.0
APOPTOSIS,1_vs_2,Early,Advanced,334214,226725,0.16365508214388236,0.15773500207486138,37881717958.5,0.924813317704947,0.924813317704947
BILE_ACID_METABOLISM,0_vs_1,Non-Cancer,Early,810705,334214,0.046304257627219486,0.013181077651341066,180691913468.0,0.0,0.0
BILE_ACID_METABOLISM,0_vs_2,Non-Cancer,Advanced,810705,226725,0.046304257627219486,0.008550628467716245,126996784416.0,0.0,0.0
BILE_ACID_METABOLISM,1_vs_2,Early,Advanced,334214,226725,0.013181077651341066,0.008550628467716245,40028952255.5,1.475750737371286e-283,1.9676676498283814e-283
CHOLESTEROL_HOMEOSTASIS,0_vs_1,Non-Cancer,Early,810705,334214,0.19638831601910717,0.08255207918190073,191747428692.5,0.0,0.0
CHOLESTEROL_HOMEOSTASIS,0_vs_2,Non-Cancer,Advanced,810705,226725,0.19638831601910717,0.07708989671217213,135752367338.0,0.0,0.0
CHOLESTEROL_HOMEOSTASIS,1_vs_2,Early,Advanced,334214,226725,0.08255207918190073,0.07708989671217213,39645459429.5,8.658269555219164e-192,1.0805520404913517e-191
COAGULATION,0_vs_1,Non-Cancer,Early,810705,334214,0.1331121585912636,0.04696760832939371,181536283539.5,0.0,0.0
COAGULATION,0_vs_2,Non-Cancer,Advanced,810705,226725,0.1331121585912636,0.07342833552139917,121623371746.0,0.0,0.0
COAGULATION,1_vs_2,Early,Advanced,334214,226725,0.04696760832939371,0.07342833552139917,35825409630.0,5.2734057972421296e-263,6.913036171174556e-263
COMPLEMENT,0_vs_1,Non-Cancer,Early,810705,334214,0.17523636593920397,0.12170375076711713,170900922626.0,0.0,0.0
COMPLEMENT,0_vs_2,Non-Cancer,Advanced,810705,226725,0.17523636593920397,0.1330595128186904,114454191360.0,0.0,0.0
COMPLEMENT,1_vs_2,Early,Advanced,334214,226725,0.12170375076711713,0.1330595128186904,35160028747.5,0.0,0.0
DNA_REPAIR,0_vs_1,Non-Cancer,Early,810705,334214,0.1276059188499107,0.0798830967121296,169620542927.0,0.0,0.0
DNA_REPAIR,0_vs_2,Non-Cancer,Advanced,810705,226725,0.1276059188499107,0.06336720269005579,120924323247.5,0.0,0.0
