CAT,donor_id,value_raw,cat_size,project,is_inhouse,value_norm11
EPITHELIAL,Adams_Kaminski_2020_001C,0.1724137931034483,87,c624f243-f3c9-4a43-8d8e-f8a366f73cca,False,-0.6551724137931034
EPITHELIAL,Adams_Kaminski_2020_002C,0.0,21,c624f243-f3c9-4a43-8d8e-f8a366f73cca,False,-1.0
EPITHELIAL,Adams_Kaminski_2020_003C,0.14516129032258066,62,c624f243-f3c9-4a43-8d8e-f8a366f73cca,False,-0.7096774193548387
EPITHELIAL,Adams_Kaminski_2020_034C,0.36363636363636365,11,c624f243-f3c9-4a43-8d8e-f8a366f73cca,False,-0.2727272727272727
EPITHELIAL,Adams_Kaminski_2020_065C,0.16666666666666666,36,c624f243-f3c9-4a43-8d8e-f8a366f73cca,False,-0.6666666666666667
EPITHELIAL,Adams_Kaminski_2020_081C,0.42857142857142855,7,c624f243-f3c9-4a43-8d8e-f8a366f73cca,False,-0.1428571428571429
EPITHELIAL,Adams_Kaminski_2020_084C,0.0,7,c624f243-f3c9-4a43-8d8e-f8a366f73cca,False,-1.0
EPITHELIAL,Adams_Kaminski_2020_092C,0.0,1,c624f243-f3c9-4a43-8d8e-f8a366f73cca,False,-1.0
EPITHELIAL,Adams_Kaminski_2020_098C,0.13392857142857142,336,c624f243-f3c9-4a43-8d8e-f8a366f73cca,False,-0.7321428571428572
EPITHELIAL,Adams_Kaminski_2020_133C,0.02835538752362949,1587,c624f243-f3c9-4a43-8d8e-f8a366f73cca,False,-0.943289224952741
EPITHELIAL,Adams_Kaminski_2020_1372C,0.09090909090909091,319,c624f243-f3c9-4a43-8d8e-f8a366f73cca,False,-0.8181818181818181
EPITHELIAL,Adams_Kaminski_2020_137C,0.09090909090909091,11,c624f243-f3c9-4a43-8d8e-f8a366f73cca,False,-0.8181818181818181
EPITHELIAL,Adams_Kaminski_2020_160C,0.208,125,c624f243-f3c9-4a43-8d8e-f8a366f73cca,False,-0.5840000000000001
EPITHELIAL,Adams_Kaminski_2020_192C,0.046242774566473986,173,c624f243-f3c9-4a43-8d8e-f8a366f73cca,False,-0.9075144508670521
EPITHELIAL,Adams_Kaminski_2020_208C,0.16326530612244897,49,c624f243-f3c9-4a43-8d8e-f8a366f73cca,False,-0.6734693877551021
EPITHELIAL,Adams_Kaminski_2020_218C,0.10101010101010101,198,c624f243-f3c9-4a43-8d8e-f8a366f73cca,False,-0.797979797979798
EPITHELIAL,Adams_Kaminski_2020_222C,0.1079136690647482,278,c624f243-f3c9-4a43-8d8e-f8a366f73cca,False,-0.7841726618705036
EPITHELIAL,Adams_Kaminski_2020_226C,0.0875,240,c624f243-f3c9-4a43-8d8e-f8a366f73cca,False,-0.825
EPITHELIAL,Adams_Kaminski_2020_244C,0.273972602739726,73,c624f243-f3c9-4a43-8d8e-f8a366f73cca,False,-0.452054794520548
