stage,pathway,condition,mean_score_pseudobulk,plotted_bar_height_scaled
Advanced,ANGIOGENESIS,angiogenesis,0.09452187075677691,55.910345459506026
Advanced,APICAL_JUNCTION,angiogenesis,0.06956334658043807,43.24132166909019
Advanced,COAGULATION,angiogenesis,0.07057546236815254,43.755074762126284
Advanced,HEME_METABOLISM,angiogenesis,0.06947954857062229,43.19878554105454
Advanced,APICAL_SURFACE,angiogenesis,0.03316105200034191,24.763404753707334
Advanced,PROTEIN_SECRETION,angiogenesis,0.11040930935504494,63.97485825473949
Advanced,REACTIVE_OXYGEN_SPECIES_PATHWAY,apoptosis,0.1346592001761411,76.28417757013021
Advanced,PI3K_AKT_MTOR_SIGNALING,apoptosis,0.12649756321309857,72.14130549472327
Advanced,COMPLEMENT,apoptosis,0.11043780209702485,63.989321258378936
Advanced,P53_PATHWAY,apoptosis,0.09049485323661614,53.866218955595805
Advanced,APOPTOSIS,apoptosis,0.11922722507527712,68.45085944985065
Advanced,UV_RESPONSE_UP,apoptosis,0.08364404911099743,50.38872966825951
Advanced,MTORC1_SIGNALING,apoptosis,0.09117863024130345,54.21330627047539
Advanced,APICAL_JUNCTION,emt and metastasis,0.06956334658043807,43.24132166909019
Advanced,PROTEIN_SECRETION,emt and metastasis,0.11040930935504494,63.97485825473949
Advanced,MYOGENESIS,emt and metastasis,0.02992346322500101,23.119994713571145
Advanced,UNFOLDED_PROTEIN_RESPONSE,emt and metastasis,0.08840499644494404,52.80540120751132
Advanced,APICAL_SURFACE,emt and metastasis,0.03316105200034191,24.763404753707334
Advanced,HYPOXIA,emt and metastasis,0.11972516088325051,68.70361320054297
Advanced,EPITHELIAL_MESENCHYMAL_TRANSITION,emt and metastasis,0.04916318101427633,32.88613475739208
Advanced,NOTCH_SIGNALING,emt and metastasis,0.042436652877858895,29.471728345174697
Advanced,ADIPOGENESIS,emt and metastasis,0.07836414547358812,47.70863431002291
Advanced,PANCREAS_BETA_CELLS,energetics,0.027590789129589996,21.935922153781515
Advanced,CHOLESTEROL_HOMEOSTASIS,energetics,0.07461999177902266,45.80809035572964
Advanced,MYC_TARGETS_V1,energetics,0.18138039490035088,100.0
Advanced,WNT_BETA_CATENIN_SIGNALING,energetics,0.001910762350237272,8.90066141851077
Advanced,BILE_ACID_METABOLISM,energetics,0.017157143374431777,16.639771413499215
Advanced,FATTY_ACID_METABOLISM,energetics,0.07361416789566123,45.29753105273388
Advanced,MTORC1_SIGNALING,energetics,0.09117863024130345,54.21330627047539
Advanced,OXIDATIVE_PHOSPHORYLATION,energetics,0.09059171007442225,53.91538378496474
Advanced,PI3K_AKT_MTOR_SIGNALING,energetics,0.12649756321309857,72.14130549472327
Advanced,MYC_TARGETS_V2,energetics,-0.015623925157995431,0.0
Advanced,PEROXISOME,energetics,0.055351594945271386,36.02739274054811
Advanced,HYPOXIA,energetics,0.11972516088325051,68.70361320054297
Advanced,MITOTIC_SPINDLE,genome instability,0.08256232389086327,49.839642612801136
Advanced,G2M_CHECKPOINT,genome instability,0.04704901487617378,31.812977510141664
Advanced,UV_RESPONSE_DN,genome instability,0.08891931529663272,53.06647104168366
Advanced,DNA_REPAIR,genome instability,0.026721974042171054,21.49490893784715
Advanced,UV_RESPONSE_UP,genome instability,0.08364404911099743,50.38872966825951
Advanced,UNFOLDED_PROTEIN_RESPONSE,genome instability,0.08840499644494404,52.80540120751132
Advanced,REACTIVE_OXYGEN_SPECIES_PATHWAY,genome instability,0.1346592001761411,76.28417757013021
Advanced,WNT_BETA_CATENIN_SIGNALING,immune,0.001910762350237272,8.90066141851077
Advanced,BILE_ACID_METABOLISM,immune,0.017157143374431777,16.639771413499215
Advanced,COAGULATION,immune,0.07057546236815254,43.755074762126284
Advanced,CHOLESTEROL_HOMEOSTASIS,immune,0.07461999177902266,45.80809035572964
Advanced,TGF_BETA_SIGNALING,immune,0.11219066212967159,64.87907841300763
Advanced,ALLOGRAFT_REJECTION,immune,0.1446603859952785,81.36081031411032
Advanced,HEDGEHOG_SIGNALING,immune,0.029416177061129162,22.862494693408337
Advanced,TNFA_SIGNALING_VIA_NFKB,immune,0.1051643058662396,61.3124783194914
Advanced,IL2_STAT5_SIGNALING,immune,0.056366952069575336,36.54279114602634
Advanced,XENOBIOTIC_METABOLISM,immune,0.05183074796577888,34.240199963024374
Advanced,COMPLEMENT,immune,0.11043780209702485,63.989321258378936
Advanced,FATTY_ACID_METABOLISM,immune,0.07361416789566123,45.29753105273388
Advanced,ANGIOGENESIS,immune,0.09452187075677691,55.910345459506026
Advanced,INTERFERON_ALPHA_RESPONSE,immune,0.10944228887623426,63.48399567948009
Advanced,INTERFERON_GAMMA_RESPONSE,immune,0.11789840974578499,67.77634869338674
Advanced,ADIPOGENESIS,inflammation,0.07836414547358812,47.70863431002291
Advanced,ALLOGRAFT_REJECTION,inflammation,0.1446603859952785,81.36081031411032
Advanced,INFLAMMATORY_RESPONSE,inflammation,0.060147734650260874,38.461928035799005
Advanced,ANGIOGENESIS,inflammation,0.09452187075677691,55.910345459506026
Advanced,INTERFERON_ALPHA_RESPONSE,inflammation,0.10944228887623426,63.48399567948009
Advanced,KRAS_SIGNALING_DN,insensitivity to antigrowth,-0.008468207946025801,3.632264109665381
Advanced,NOTCH_SIGNALING,insensitivity to antigrowth,0.042436652877858895,29.471728345174697
Advanced,HEDGEHOG_SIGNALING,insensitivity to antigrowth,0.029416177061129162,22.862494693408337
Advanced,IL6_JAK_STAT3_SIGNALING,insensitivity to antigrowth,0.04984596844604456,33.23271976200823
Advanced,INTERFERON_GAMMA_RESPONSE,insensitivity to antigrowth,0.11789840974578499,67.77634869338674
Advanced,UNFOLDED_PROTEIN_RESPONSE,insensitivity to antigrowth,0.08840499644494404,52.80540120751132
Advanced,TGF_BETA_SIGNALING,insensitivity to antigrowth,0.11219066212967159,64.87907841300763
Advanced,MTORC1_SIGNALING,insensitivity to antigrowth,0.09117863024130345,54.21330627047539
Advanced,PI3K_AKT_MTOR_SIGNALING,insensitivity to antigrowth,0.12649756321309857,72.14130549472327
Advanced,SPERMATOGENESIS,proliferative signal,0.0035998405572576155,9.758042721885282
Advanced,DNA_REPAIR,proliferative signal,0.026721974042171054,21.49490893784715
Advanced,UV_RESPONSE_DN,proliferative signal,0.08891931529663272,53.06647104168366
Advanced,E2F_TARGETS,proliferative signal,0.007373891929163109,11.673762829336601
Advanced,G2M_CHECKPOINT,proliferative signal,0.04704901487617378,31.812977510141664
Advanced,APOPTOSIS,replication,0.11922722507527712,68.45085944985065
Advanced,P53_PATHWAY,replication,0.09049485323661614,53.866218955595805
Advanced,MITOTIC_SPINDLE,replication,0.08256232389086327,49.839642612801136
Advanced,WNT_BETA_CATENIN_SIGNALING,replication,0.001910762350237272,8.90066141851077
Advanced,KRAS_SIGNALING_UP,sensitivity to growth,0.05307135240073557,34.86993459756907
Advanced,FATTY_ACID_METABOLISM,sensitivity to growth,0.07361416789566123,45.29753105273388
Advanced,NOTCH_SIGNALING,sensitivity to growth,0.042436652877858895,29.471728345174697
Advanced,MYC_TARGETS_V1,sensitivity to growth,0.18138039490035088,100.0
Advanced,HYPOXIA,sensitivity to growth,0.11972516088325051,68.70361320054297
Advanced,HEDGEHOG_SIGNALING,sensitivity to growth,0.029416177061129162,22.862494693408337
Advanced,ANDROGEN_RESPONSE,sensitivity to growth,0.1287963566532532,73.30818012948956
Advanced,CHOLESTEROL_HOMEOSTASIS,sensitivity to growth,0.07461999177902266,45.80809035572964
Advanced,MYC_TARGETS_V2,sensitivity to growth,-0.015623925157995431,0.0
Advanced,ESTROGEN_RESPONSE_EARLY,sensitivity to growth,0.03875001769411471,27.600380964237907
Advanced,INFLAMMATORY_RESPONSE,sensitivity to growth,0.060147734650260874,38.461928035799005
Advanced,BILE_ACID_METABOLISM,sensitivity to growth,0.017157143374431777,16.639771413499215
Advanced,WNT_BETA_CATENIN_SIGNALING,sensitivity to growth,0.001910762350237272,8.90066141851077
Advanced,GLYCOLYSIS,sensitivity to growth,0.0513976627957228,34.02036459599901
Advanced,UNFOLDED_PROTEIN_RESPONSE,sensitivity to growth,0.08840499644494404,52.80540120751132
