stage,pathway,condition,mean_score_pseudobulk,plotted_bar_height_scaled
Non-Cancer,ANGIOGENESIS,angiogenesis,0.06026449836674738,28.217431454153697
Non-Cancer,APICAL_JUNCTION,angiogenesis,0.0801368306272771,36.320314599342105
Non-Cancer,COAGULATION,angiogenesis,0.07276294564962264,33.313635387427524
Non-Cancer,HEME_METABOLISM,angiogenesis,0.09052454100227375,40.55587196680007
Non-Cancer,APICAL_SURFACE,angiogenesis,0.021603516266760603,12.453533380819882
Non-Cancer,PROTEIN_SECRETION,angiogenesis,0.13171185254685583,57.349873201022696
Non-Cancer,REACTIVE_OXYGEN_SPECIES_PATHWAY,apoptosis,0.1859569564274765,79.4681496157287
Non-Cancer,PI3K_AKT_MTOR_SIGNALING,apoptosis,0.14367519936846462,62.22789154582433
Non-Cancer,COMPLEMENT,apoptosis,0.11908247620574193,52.20028334176351
Non-Cancer,P53_PATHWAY,apoptosis,0.11483417221193565,50.468050286490914
Non-Cancer,APOPTOSIS,apoptosis,0.14787179259249933,63.93903969172074
Non-Cancer,UV_RESPONSE_UP,apoptosis,0.1085972480676008,47.92496340245537
Non-Cancer,MTORC1_SIGNALING,apoptosis,0.11390524277674047,50.08928212959659
Non-Cancer,APICAL_JUNCTION,emt and metastasis,0.0801368306272771,36.320314599342105
Non-Cancer,PROTEIN_SECRETION,emt and metastasis,0.13171185254685583,57.349873201022696
Non-Cancer,MYOGENESIS,emt and metastasis,0.035782067300084,18.234794517405142
Non-Cancer,UNFOLDED_PROTEIN_RESPONSE,emt and metastasis,0.10666957050605468,47.13895872932328
Non-Cancer,APICAL_SURFACE,emt and metastasis,0.021603516266760603,12.453533380819882
Non-Cancer,HYPOXIA,emt and metastasis,0.14774018608970862,63.88537753977604
Non-Cancer,EPITHELIAL_MESENCHYMAL_TRANSITION,emt and metastasis,0.045972640242541676,22.389969695270867
Non-Cancer,NOTCH_SIGNALING,emt and metastasis,0.04948224054054104,23.820998561343643
Non-Cancer,ADIPOGENESIS,emt and metastasis,0.11440350303835436,50.29244623851034
Non-Cancer,PANCREAS_BETA_CELLS,energetics,0.04324320986301689,21.27705274479577
Non-Cancer,CHOLESTEROL_HOMEOSTASIS,energetics,0.11421819467255942,50.21688731496896
Non-Cancer,MYC_TARGETS_V1,energetics,0.23631134824688815,100.0
Non-Cancer,WNT_BETA_CATENIN_SIGNALING,energetics,0.002056086916153316,4.483128410720264
Non-Cancer,BILE_ACID_METABOLISM,energetics,0.031216566734571644,16.373225523054394
Non-Cancer,FATTY_ACID_METABOLISM,energetics,0.11862198076651786,52.01251772452209
Non-Cancer,MTORC1_SIGNALING,energetics,0.11390524277674047,50.08928212959659
Non-Cancer,OXIDATIVE_PHOSPHORYLATION,energetics,0.1608995341824699,69.25106177173143
Non-Cancer,PI3K_AKT_MTOR_SIGNALING,energetics,0.14367519936846462,62.22789154582433
Non-Cancer,MYC_TARGETS_V2,energetics,-0.004674726875215085,1.738659522596564
Non-Cancer,PEROXISOME,energetics,0.08337818450057347,37.641966800160546
Non-Cancer,HYPOXIA,energetics,0.14774018608970862,63.88537753977604
Non-Cancer,MITOTIC_SPINDLE,genome instability,0.0918360796841851,41.09064788240963
Non-Cancer,G2M_CHECKPOINT,genome instability,0.052502908342973054,25.05266668678828
Non-Cancer,UV_RESPONSE_DN,genome instability,0.1043450609074694,46.19114699790332
Non-Cancer,DNA_REPAIR,genome instability,0.0489272938662732,23.594720739774882
Non-Cancer,UV_RESPONSE_UP,genome instability,0.1085972480676008,47.92496340245537
Non-Cancer,UNFOLDED_PROTEIN_RESPONSE,genome instability,0.10666957050605468,47.13895872932328
Non-Cancer,REACTIVE_OXYGEN_SPECIES_PATHWAY,genome instability,0.1859569564274765,79.4681496157287
Non-Cancer,WNT_BETA_CATENIN_SIGNALING,immune,0.002056086916153316,4.483128410720264
Non-Cancer,BILE_ACID_METABOLISM,immune,0.031216566734571644,16.373225523054394
Non-Cancer,COAGULATION,immune,0.07276294564962264,33.313635387427524
Non-Cancer,CHOLESTEROL_HOMEOSTASIS,immune,0.11421819467255942,50.21688731496896
Non-Cancer,TGF_BETA_SIGNALING,immune,0.14001370267783192,60.734927386825305
Non-Cancer,ALLOGRAFT_REJECTION,immune,0.12864993100703737,56.10138398940849
Non-Cancer,HEDGEHOG_SIGNALING,immune,0.016303664314159486,10.292534837935175
Non-Cancer,TNFA_SIGNALING_VIA_NFKB,immune,0.1293100157461786,56.37053153772152
Non-Cancer,IL2_STAT5_SIGNALING,immune,0.07131433640730256,32.72296936696885
Non-Cancer,XENOBIOTIC_METABOLISM,immune,0.07316146173409946,33.47612911094518
Non-Cancer,COMPLEMENT,immune,0.11908247620574193,52.20028334176351
Non-Cancer,FATTY_ACID_METABOLISM,immune,0.11862198076651786,52.01251772452209
Non-Cancer,ANGIOGENESIS,immune,0.06026449836674738,28.217431454153697
Non-Cancer,INTERFERON_ALPHA_RESPONSE,immune,0.09663248768389428,43.04636868200008
Non-Cancer,INTERFERON_GAMMA_RESPONSE,immune,0.10653906631858295,47.08574604310318
