Sample,OncoTerrain_Class,Mice_Condition,Cosine_Similarity,Pearson_Correlation,Sample_Class
SD10,Normal-like,KPT-E,0.8462547173113686,0.4272873058547303,SD10_Normal-like
SD10,Normal-like,KT,0.8480745774028133,0.41935902586409285,SD10_Normal-like
SD10,Normal-like,Liver Metastasis,0.8463519210775886,0.4001597499549833,SD10_Normal-like
SD10,Normal-like,Lymph Node Metastasis,0.8674209916422072,0.42904655438939093,SD10_Normal-like
SD10,Normal-like,Normal Lung,0.8842269108271323,0.40072944406397837,SD10_Normal-like
SD10,Normal-like,Pleural DTCs,0.8502084417332293,0.41582051586963814,SD10_Normal-like
SD10,Normal-like,Pleural Metastasis,0.8634190120572957,0.4308725051845837,SD10_Normal-like
SD10,Normal-like,Soft Tissue Metastasis,0.8574341614790372,0.41920788168069556,SD10_Normal-like
SD10,Normal-like,TMet,0.8683725317760402,0.435463729393558,SD10_Normal-like
SD10,Normal-like,TnonMet,0.8622046011269946,0.4415636789762551,SD10_Normal-like
SD10,Tumor-like,KPT-E,0.8489715593068732,0.4251293136446965,SD10_Tumor-like
SD10,Tumor-like,KT,0.8506530838726162,0.4173509109854052,SD10_Tumor-like
SD10,Tumor-like,Liver Metastasis,0.8494408575585897,0.4067454366453248,SD10_Tumor-like
SD10,Tumor-like,Lymph Node Metastasis,0.8702709984420224,0.43321762768609595,SD10_Tumor-like
SD10,Tumor-like,Normal Lung,0.8861578923364473,0.4030134144533807,SD10_Tumor-like
SD10,Tumor-like,Pleural DTCs,0.8532440378313335,0.42006895057865606,SD10_Tumor-like
SD10,Tumor-like,Pleural Metastasis,0.8663152555588165,0.43422599461805195,SD10_Tumor-like
SD10,Tumor-like,Soft Tissue Metastasis,0.8603576620395288,0.4233330385390009,SD10_Tumor-like
SD10,Tumor-like,TMet,0.8708730488160811,0.43461536599544826,SD10_Tumor-like
SD10,Tumor-like,TnonMet,0.8646317124769957,0.4372937080358336,SD10_Tumor-like
SD10,Pre-malignant,KPT-E,0.8489713695089621,0.3776966642754523,SD10_Pre-malignant
SD10,Pre-malignant,KT,0.8500197852157436,0.36933142454351603,SD10_Pre-malignant
SD10,Pre-malignant,Liver Metastasis,0.8489627901339539,0.36360602347324367,SD10_Pre-malignant
SD10,Pre-malignant,Lymph Node Metastasis,0.8690676369199345,0.3840656155510416,SD10_Pre-malignant
SD10,Pre-malignant,Normal Lung,0.8829591048931216,0.3594577105665842,SD10_Pre-malignant
SD10,Pre-malignant,Pleural DTCs,0.8521795775235643,0.3690165856820766,SD10_Pre-malignant
SD10,Pre-malignant,Pleural Metastasis,0.8657317939878141,0.3872527025416237,SD10_Pre-malignant
SD10,Pre-malignant,Soft Tissue Metastasis,0.8596276219087924,0.37673242135567475,SD10_Pre-malignant
SD10,Pre-malignant,TMet,0.8695600293800292,0.38437468769326094,SD10_Pre-malignant
SD10,Pre-malignant,TnonMet,0.8638368080617094,0.3866215469768184,SD10_Pre-malignant
SD10,Pre-malignant,KPT-E,0.8404345727371384,0.48867536920147975,SD10_Pre-malignant
SD10,Pre-malignant,KT,0.8422665637645096,0.4806161652803552,SD10_Pre-malignant
SD10,Pre-malignant,Liver Metastasis,0.8408862649457163,0.47313772385083747,SD10_Pre-malignant
SD10,Pre-malignant,Lymph Node Metastasis,0.8623736866070877,0.4976002574899249,SD10_Pre-malignant
SD10,Pre-malignant,Normal Lung,0.8787912311101901,0.45593784535668685,SD10_Pre-malignant
SD10,Pre-malignant,Pleural DTCs,0.8444869018222723,0.48344536255226844,SD10_Pre-malignant
SD10,Pre-malignant,Pleural Metastasis,0.8581903844221732,0.4992645721913998,SD10_Pre-malignant
SD10,Pre-malignant,Soft Tissue Metastasis,0.8519974550363926,0.4874822630117649,SD10_Pre-malignant
SD10,Pre-malignant,TMet,0.8632702392595565,0.4991315505025432,SD10_Pre-malignant
SD10,Pre-malignant,TnonMet,0.8568639081908511,0.5020980855953076,SD10_Pre-malignant
SD10,Normal-like,KPT-E,0.8391210698085214,0.42249182694525644,SD10_Normal-like
SD10,Normal-like,KT,0.8407281631124145,0.415812375406644,SD10_Normal-like
SD10,Normal-like,Liver Metastasis,0.8394103326980282,0.41065284708104616,SD10_Normal-like
SD10,Normal-like,Lymph Node Metastasis,0.8605937960097861,0.43207401727314243,SD10_Normal-like
SD10,Normal-like,Normal Lung,0.8786903820465735,0.4227723143056379,SD10_Normal-like
SD10,Normal-like,Pleural DTCs,0.8422969776359419,0.4137717052645466,SD10_Normal-like
SD10,Normal-like,Pleural Metastasis,0.8568195188660875,0.4348799534715872,SD10_Normal-like
SD10,Normal-like,Soft Tissue Metastasis,0.8509239654981594,0.42687789310796437,SD10_Normal-like
SD10,Normal-like,TMet,0.8609011842981746,0.4290169660148976,SD10_Normal-like
SD10,Normal-like,TnonMet,0.8544309111632334,0.42860040256015514,SD10_Normal-like
SD10,Tumor-like,KPT-E,0.8340101121347472,0.38448544314288585,SD10_Tumor-like
SD10,Tumor-like,KT,0.8352757266813194,0.37804962005268306,SD10_Tumor-like
SD10,Tumor-like,Liver Metastasis,0.8355476630256441,0.3826785837129939,SD10_Tumor-like
SD10,Tumor-like,Lymph Node Metastasis,0.8558336391267404,0.3999460508424441,SD10_Tumor-like
SD10,Tumor-like,Normal Lung,0.8735691536926817,0.3974384756674852,SD10_Tumor-like
SD10,Tumor-like,Pleural DTCs,0.8372940370537276,0.379464149274023,SD10_Tumor-like
SD10,Tumor-like,Pleural Metastasis,0.8529605424016122,0.4060113646730953,SD10_Tumor-like
SD10,Tumor-like,Soft Tissue Metastasis,0.846410871570279,0.39446684569605317,SD10_Tumor-like
SD10,Tumor-like,TMet,0.85597565728372,0.39681971989567183,SD10_Tumor-like
SD10,Tumor-like,TnonMet,0.8496762117677082,0.3954392718797848,SD10_Tumor-like
SD12,Normal-like,KPT-E,0.8541542776723511,0.5574765138295457,SD12_Normal-like
SD12,Normal-like,KT,0.856240491586288,0.5526119207214885,SD12_Normal-like
SD12,Normal-like,Liver Metastasis,0.851520076773969,0.5035568760428598,SD12_Normal-like
SD12,Normal-like,Lymph Node Metastasis,0.8730114566523498,0.5412166981502079,SD12_Normal-like
SD12,Normal-like,Normal Lung,0.89160211973237,0.510260944956065,SD12_Normal-like
SD12,Normal-like,Pleural DTCs,0.8557238657293825,0.522701862075394,SD12_Normal-like
